SID,entry,evaluation,replacement
65e862f844f1b7a803bb3c5a,boss,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,bicycle,FOUND,bicycle
65e862f844f1b7a803bb3c5a,coach,REPLACE,yacht
65e862f844f1b7a803bb3c5a,camel,FOUND,camel
65e862f844f1b7a803bb3c5a,cable,REPLACE,cable car
65e862f844f1b7a803bb3c5a,car,FOUND,car
65e862f844f1b7a803bb3c5a,skateboard,FOUND,skateboard
65e862f844f1b7a803bb3c5a,aeroplane,REPLACE,airplane
65e862f844f1b7a803bb3c5a,Merrell,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,boots,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,yacht,FOUND,yacht
65e862f844f1b7a803bb3c5a,Siri,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,Cruise,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,cheap,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,Bugsy,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,dream,REPLACE,tram
65e862f844f1b7a803bb3c5a,are,REPLACE,car
65e862f844f1b7a803bb3c5a,boots,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,and,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,Dakota,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,submarine,FOUND,submarine
65e862f844f1b7a803bb3c5a,truck,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,Lori,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,donkey,FOUND,donkey
65e862f844f1b7a803bb3c5a,Kindle,EXCLUDE,EXCLUDE
6554de7d91c1b1bf51104fda,car,FOUND,car
6554de7d91c1b1bf51104fda,hoverboard,EXCLUDE,EXCLUDE
6554de7d91c1b1bf51104fda,airplane,FOUND,airplane
6554de7d91c1b1bf51104fda,bus,FOUND,bus
6554de7d91c1b1bf51104fda,train,FOUND,train
6554de7d91c1b1bf51104fda,carriage,EXCLUDE,EXCLUDE
6554de7d91c1b1bf51104fda,truck,EXCLUDE,EXCLUDE
6554de7d91c1b1bf51104fda,bicycle,FOUND,bicycle
6554de7d91c1b1bf51104fda,motorcycle,FOUND,motorcycle
6554de7d91c1b1bf51104fda,scooter,FOUND,scooter
6554de7d91c1b1bf51104fda,helicopter,FOUND,helicopter
6554de7d91c1b1bf51104fda,boat,REPLACE,rowboat
6554de7d91c1b1bf51104fda,ship,EXCLUDE,EXCLUDE
6554de7d91c1b1bf51104fda,canoe,FOUND,canoe
6554de7d91c1b1bf51104fda,Rome,EXCLUDE,EXCLUDE
6554de7d91c1b1bf51104fda,yacht,FOUND,yacht
6554de7d91c1b1bf51104fda,kayak,FOUND,kayak
6554de7d91c1b1bf51104fda,submarine,FOUND,submarine
6554de7d91c1b1bf51104fda,trolley,EXCLUDE,EXCLUDE
6554de7d91c1b1bf51104fda,taxi,FOUND,taxi
6554de7d91c1b1bf51104fda,Uber,REPLACE,bears
6554de7d91c1b1bf51104fda,Rift,EXCLUDE,EXCLUDE
6554de7d91c1b1bf51104fda,horse,FOUND,horse
6554de7d91c1b1bf51104fda,Sperry,REPLACE,ferry
6554de7d91c1b1bf51104fda,mama,EXCLUDE,EXCLUDE
6554de7d91c1b1bf51104fda,Ford,EXCLUDE,EXCLUDE
6554de7d91c1b1bf51104fda,Toyota,EXCLUDE,EXCLUDE
6554de7d91c1b1bf51104fda,jeep,EXCLUDE,EXCLUDE
6554de7d91c1b1bf51104fda,escalator,EXCLUDE,EXCLUDE
6554de7d91c1b1bf51104fda,elevator,EXCLUDE,EXCLUDE
6554de7d91c1b1bf51104fda,hot,EXCLUDE,EXCLUDE
6554de7d91c1b1bf51104fda,air,REPLACE,car
6554de7d91c1b1bf51104fda,balloon,EXCLUDE,EXCLUDE
6554de7d91c1b1bf51104fda,running,FOUND,running
654108d38225e168af4b1fa0,car,FOUND,car
654108d38225e168af4b1fa0,bus,FOUND,bus
654108d38225e168af4b1fa0,train,FOUND,train
654108d38225e168af4b1fa0,subway,FOUND,subway
654108d38225e168af4b1fa0,airplane,FOUND,airplane
654108d38225e168af4b1fa0,boat,REPLACE,rowboat
654108d38225e168af4b1fa0,bicycle,FOUND,bicycle
654108d38225e168af4b1fa0,foot,EXCLUDE,EXCLUDE
654108d38225e168af4b1fa0,motorcycle,FOUND,motorcycle
654108d38225e168af4b1fa0,moped,EXCLUDE,EXCLUDE
654108d38225e168af4b1fa0,scooter,FOUND,scooter
654108d38225e168af4b1fa0,Segway,REPLACE,segway
654108d38225e168af4b1fa0,bus,FOUND,bus
654108d38225e168af4b1fa0,submarine,FOUND,submarine
654108d38225e168af4b1fa0,golf,EXCLUDE,EXCLUDE
654108d38225e168af4b1fa0,cart,REPLACE,car
654108d38225e168af4b1fa0,Taxi,REPLACE,taxi
654108d38225e168af4b1fa0,Uber,REPLACE,bears
654108d38225e168af4b1fa0,truck,EXCLUDE,EXCLUDE
654108d38225e168af4b1fa0,van,EXCLUDE,EXCLUDE
654108d38225e168af4b1fa0,monorail,FOUND,monorail
654108d38225e168af4b1fa0,shuttle,EXCLUDE,EXCLUDE
654108d38225e168af4b1fa0,jet,REPLACE,jet ski
5d7ff4aa50fda7001a863736,car,FOUND,car
5d7ff4aa50fda7001a863736,Taxi,REPLACE,taxi
5d7ff4aa50fda7001a863736,limo,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,airplane,FOUND,airplane
5d7ff4aa50fda7001a863736,helicopter,FOUND,helicopter
5d7ff4aa50fda7001a863736,bicycle,FOUND,bicycle
5d7ff4aa50fda7001a863736,oh,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,ship,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,boat,REPLACE,rowboat
5d7ff4aa50fda7001a863736,scooter,FOUND,scooter
5d7ff4aa50fda7001a863736,train,FOUND,train
5d7ff4aa50fda7001a863736,motorcycle,FOUND,motorcycle
5d7ff4aa50fda7001a863736,golf,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,cart,REPLACE,car
5d7ff4aa50fda7001a863736,School,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,Bus,REPLACE,bus
5d7ff4aa50fda7001a863736,ambulance,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,police car,EXCLUDE,EXCLUDE
5d7ff4aa50fda7001a863736,horse,FOUND,horse
6596a5cad60ef105b6c18897,by,EXCLUDE,EXCLUDE
6596a5cad60ef105b6c18897,plane,REPLACE,airplane
6596a5cad60ef105b6c18897,train,FOUND,train
6596a5cad60ef105b6c18897,taxi,FOUND,taxi
6596a5cad60ef105b6c18897,Uber,REPLACE,bears
6596a5cad60ef105b6c18897,Lyft,EXCLUDE,EXCLUDE
6596a5cad60ef105b6c18897,car,FOUND,car
6596a5cad60ef105b6c18897,van,EXCLUDE,EXCLUDE
6596a5cad60ef105b6c18897,truck,EXCLUDE,EXCLUDE
6596a5cad60ef105b6c18897,limousine,EXCLUDE,EXCLUDE
6596a5cad60ef105b6c18897,tractor,EXCLUDE,EXCLUDE
6596a5cad60ef105b6c18897,Subway,REPLACE,subway
6596a5cad60ef105b6c18897,light,EXCLUDE,EXCLUDE
6596a5cad60ef105b6c18897,rail,REPLACE,train
6596a5cad60ef105b6c18897,boat,REPLACE,rowboat
6596a5cad60ef105b6c18897,canoe,FOUND,canoe
6596a5cad60ef105b6c18897,kayak,FOUND,kayak
6596a5cad60ef105b6c18897,a,EXCLUDE,EXCLUDE
6596a5cad60ef105b6c18897,yacht,FOUND,yacht
6596a5cad60ef105b6c18897,helicopter,FOUND,helicopter
6596a5cad60ef105b6c18897,hot,EXCLUDE,EXCLUDE
6596a5cad60ef105b6c18897,air,REPLACE,car
6596a5cad60ef105b6c18897,balloon,EXCLUDE,EXCLUDE
6596a5cad60ef105b6c18897,parachute,REPLACE,parachuting
6596a5cad60ef105b6c18897,hang,REPLACE,hiking
6596a5cad60ef105b6c18897,glider,FOUND,glider
6596a5cad60ef105b6c18897,chat,REPLACE,yacht
6596a5cad60ef105b6c18897,skateboard,FOUND,skateboard
6596a5cad60ef105b6c18897,scooter,FOUND,scooter
6596a5cad60ef105b6c18897,motorcycle,FOUND,motorcycle
6596a5cad60ef105b6c18897,Best,EXCLUDE,EXCLUDE
