SID,entry,evaluation,replacement
5f1f3581b5cf3e103cc545c9,drums,REPLACE,drum
5f1f3581b5cf3e103cc545c9,saxophone,FOUND,saxophone
5f1f3581b5cf3e103cc545c9,piano,FOUND,piano
5f1f3581b5cf3e103cc545c9,pilot,REPLACE,piccolo
5f1f3581b5cf3e103cc545c9,cello,FOUND,cello
5f1f3581b5cf3e103cc545c9,every,EXCLUDE,EXCLUDE
5f1f3581b5cf3e103cc545c9,bass,REPLACE,bassoon
5f1f3581b5cf3e103cc545c9,clarinet,FOUND,clarinet
5f1f3581b5cf3e103cc545c9,accordion,FOUND,accordion
6001487015e5f62961639e7d,guitar,FOUND,guitar
6001487015e5f62961639e7d,banjo,FOUND,banjo
6001487015e5f62961639e7d,violin,FOUND,violin
6001487015e5f62961639e7d,ukulele,FOUND,ukulele
6001487015e5f62961639e7d,piano,FOUND,piano
6001487015e5f62961639e7d,keyboard,EXCLUDE,EXCLUDE
6001487015e5f62961639e7d,organ,FOUND,organ
6001487015e5f62961639e7d,flute,FOUND,flute
6001487015e5f62961639e7d,clarinet,FOUND,clarinet
6001487015e5f62961639e7d,trumpet,FOUND,trumpet
6001487015e5f62961639e7d,trombone,FOUND,trombone
6001487015e5f62961639e7d,tuba,FOUND,tuba
6001487015e5f62961639e7d,saxophone,FOUND,saxophone
6001487015e5f62961639e7d,drums,REPLACE,drum
6001487015e5f62961639e7d,harp,FOUND,harp
6001487015e5f62961639e7d,cello,FOUND,cello
6001487015e5f62961639e7d,xylophone,FOUND,xylophone
6001487015e5f62961639e7d,symbols,REPLACE,cymbals
6001487015e5f62961639e7d,recorder,FOUND,recorder
6001487015e5f62961639e7d,pan,REPLACE,piano
6001487015e5f62961639e7d,flute,FOUND,flute
6001487015e5f62961639e7d,harmonica,FOUND,harmonica
65d6a09286a0c99e632a46dd,alright,EXCLUDE,EXCLUDE
65d6a09286a0c99e632a46dd,flute,FOUND,flute
65d6a09286a0c99e632a46dd,saxophone,FOUND,saxophone
65d6a09286a0c99e632a46dd,guitar,FOUND,guitar
65d6a09286a0c99e632a46dd,piano,FOUND,piano
65d6a09286a0c99e632a46dd,trombone,FOUND,trombone
65d6a09286a0c99e632a46dd,alto,REPLACE,algoza
65d6a09286a0c99e632a46dd,sax,EXCLUDE,EXCLUDE
65d6a09286a0c99e632a46dd,clarinet,FOUND,clarinet
65d6a09286a0c99e632a46dd,drums,REPLACE,drum
65d6a09286a0c99e632a46dd,xylophone,FOUND,xylophone
65d6a09286a0c99e632a46dd,Berlin,REPLACE,ukelin
65d6a09286a0c99e632a46dd,viola,FOUND,viola
65d6a09286a0c99e632a46dd,Bells,REPLACE,zills
65d6a09286a0c99e632a46dd,a vase,REPLACE,rav vast
