Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
5c1942e200849900010afdcd,0.3555183757099249,0.11179701318601491,7.080746842776454,0.8321935271066705,22.0,simdrop,6,3.142857142857143,0.989743318610787
5c4a428161c51f0001e96b3f,0.3562417149111755,0.11682087332029739,7.5016558972478675,0.6896908878523877,17.0,simdrop,5,2.8333333333333335,1.0671873729054748
5d3cc9010e510a00013df6f6,0.3593800197488205,0.08158478734136794,7.433144226186028,0.8520852813040547,11.0,simdrop,3,2.75,0.82915619758885
5e7fefe06c12706d47e35211,0.39943267886032835,0.17408476293702277,7.135484455004293,0.7954103419850274,20.0,simdrop,5,3.3333333333333335,1.1055415967851334
5e8a76b3939b3072dc76fb5c,0.37548875063016546,0.09002167849331161,7.237966032480753,0.6872963804334611,11.0,simdrop,2,3.6666666666666665,0.4714045207910317
5ed9311e1a69d449577bb8cf,0.3935344702209025,0.09170278058587467,7.312997687019488,0.8271435294219924,10.0,simdrop,2,3.3333333333333335,0.9428090415820634
5f6c102b6ec04317fc9a8127,0.4533863209915245,0.2194438345673793,7.49890142457897,0.6903651890436702,10.0,simdrop,3,2.5,1.118033988749895
5fc6df58f380620a09116434,0.31847589211632477,0.12570165610556153,7.416370278990483,0.7559818483896151,27.0,simdrop,11,2.25,0.5951190357119042
60da4f9aa1ced7efeecca18a,0.38712595053997445,0.19174480245641845,7.481604728245297,0.724050180300197,20.0,simdrop,5,3.3333333333333335,1.1055415967851334
60fcf1a04c245326d05076e0,0.30845082249252087,0.07173962333531939,7.411600092080076,0.7798475341795594,10.0,simdrop,3,2.5,0.8660254037844386
61035836646fb6ee2152f950,0.30080295335058177,0.06555842871724633,7.220915687640694,0.7145626440905161,13.0,simdrop,3,3.25,2.7726341266023544
612e6569f68929afb886fb5c,0.3469451271550797,0.15761353080578291,7.277483541134282,0.7067827007582237,32.0,simdrop,8,3.5555555555555554,1.0657403385139377
65512e3cc12f463bc327b7c3,0.39226950882698763,0.15829964282395415,7.154030368763622,1.691396894889322,12.0,simdrop,3,3.0,1.4142135623730951
65778c02cde55736bb830eca,0.3758269877306665,0.12175093518451008,7.393575182054516,0.8853121631349496,23.0,simdrop,5,3.8333333333333335,1.21335164821342
6595e3b4dc9090390e4edb5f,0.4122373214205073,0.08771865588585517,7.333912615245505,0.7436443561751817,14.0,simdrop,3,3.5,1.5
65c10fdabd93bdc59f95835b,0.30415515717184877,0.09177235476494626,6.826776440605469,0.8389892427103807,13.0,simdrop,1,6.5,0.5
65c18079d4f634d2c8a0728c,0.394725263163688,0.07226862028671512,7.503339379706061,0.49946317216417574,4.0,simdrop,1,2.0,1.0
65cb586172a8853f26cc8eec,0.3544928488627552,0.09696258458027777,7.241304133244313,0.6725272730913642,22.0,simdrop,7,2.75,0.6614378277661477
65cbcaaab9e2fae86452af73,0.29585807408690973,0.10032467887827459,7.27409248810182,0.7745392376700859,20.0,simdrop,7,2.5,0.7071067811865476
65cc2139907d390e13480a97,0.3628051175403467,0.09992754488016821,7.239750943723664,0.7652497320882629,17.0,simdrop,4,3.4,0.4898979485566356
65d26dcd13d9c8026aa92c4a,0.33001776879143274,0.038963298498448616,7.504466129428315,0.5738554345876428,9.0,simdrop,3,2.25,0.4330127018922193
65d6af2397543519d98f2498,0.3260578708638182,0.1031437776230107,7.382455964931973,0.5864311980655734,13.0,simdrop,2,4.333333333333333,0.4714045207910317
65e63b7fc845c96c2c2520bc,0.3684858322391,0.10928362961245598,7.134367509560941,0.7618758821625281,26.0,simdrop,6,3.7142857142857144,1.2777531299998797
65eeceee847314e8232923c9,0.3616929642302633,0.1160540086006441,7.103218429748246,0.6213545281452615,20.0,simdrop,5,3.3333333333333335,1.247219128924647
65ef726771fe85fd222416d1,0.4197448705878565,0.22731942230245392,7.106818168781646,0.6435923722737217,11.0,simdrop,2,3.6666666666666665,2.0548046676563256
65f1ec7ae5a09035345db62e,0.3445127817961857,0.07449657861696865,7.392215801831384,0.7379438889237133,27.0,simdrop,9,2.7,1.1874342087037917
65f36565fe88b95d6806e496,0.3825460622006276,0.10933798198409893,7.273579623938185,0.7283111070737117,31.0,simdrop,8,3.4444444444444446,1.4989708403591155
65f3d5016e5acb0fd67df6ee,0.3691296655605445,0.06082714238843235,7.356432147119752,0.546465281247925,6.0,simdrop,1,3.0,0.0
