Subject,Fluency_Item,Switch_Value,Switch_Method
5c1942e200849900010afdcd,bandages,2,simdrop
5c1942e200849900010afdcd,bandages,0,simdrop
5c1942e200849900010afdcd,utensils,1,simdrop
5c1942e200849900010afdcd,sponges,0,simdrop
5c1942e200849900010afdcd,tissues,0,simdrop
5c1942e200849900010afdcd,diapers,1,simdrop
5c1942e200849900010afdcd,toilet paper,0,simdrop
5c1942e200849900010afdcd,pads,1,simdrop
5c1942e200849900010afdcd,pads,0,simdrop
5c1942e200849900010afdcd,plasticware,0,simdrop
5c1942e200849900010afdcd,candles,1,simdrop
5c1942e200849900010afdcd,candles,0,simdrop
5c1942e200849900010afdcd,pet supplies,1,simdrop
5c1942e200849900010afdcd,tissues,0,simdrop
5c1942e200849900010afdcd,cookware,1,simdrop
5c1942e200849900010afdcd,shoes,0,simdrop
5c1942e200849900010afdcd,tampons,2,simdrop
5c4a428161c51f0001e96b3f,vitamins,2,simdrop
5c4a428161c51f0001e96b3f,plasticware,0,simdrop
5c4a428161c51f0001e96b3f,bandages,0,simdrop
5c4a428161c51f0001e96b3f,plasticware,0,simdrop
5c4a428161c51f0001e96b3f,bug spray,1,simdrop
5c4a428161c51f0001e96b3f,candles,0,simdrop
5c4a428161c51f0001e96b3f,pet supplies,1,simdrop
5c4a428161c51f0001e96b3f,diapers,0,simdrop
5c4a428161c51f0001e96b3f,pet supplies,0,simdrop
5c4a428161c51f0001e96b3f,pet supplies,0,simdrop
5c4a428161c51f0001e96b3f,pads,1,simdrop
5c4a428161c51f0001e96b3f,batteries,0,simdrop
5c4a428161c51f0001e96b3f,shoes,0,simdrop
5c4a428161c51f0001e96b3f,toothpaste,1,simdrop
5c4a428161c51f0001e96b3f,toothpaste,0,simdrop
5c4a428161c51f0001e96b3f,toothbrushes,0,simdrop
5c4a428161c51f0001e96b3f,pet supplies,2,simdrop
5d3cc9010e510a00013df6f6,toilet paper,2,simdrop
5d3cc9010e510a00013df6f6,diapers,0,simdrop
5d3cc9010e510a00013df6f6,apparel,1,simdrop
5d3cc9010e510a00013df6f6,electronics,0,simdrop
5d3cc9010e510a00013df6f6,toiletries,1,simdrop
5d3cc9010e510a00013df6f6,shampoo,0,simdrop
5d3cc9010e510a00013df6f6,conditioner,0,simdrop
5d3cc9010e510a00013df6f6,kitchenware,1,simdrop
5d3cc9010e510a00013df6f6,pet supplies,2,simdrop
5e7fefe06c12706d47e35211,bandages,2,simdrop
5e7fefe06c12706d47e35211,diapers,0,simdrop
5e7fefe06c12706d47e35211,toilet paper,0,simdrop
5e7fefe06c12706d47e35211,vitamins,1,simdrop
5e7fefe06c12706d47e35211,tampons,0,simdrop
5e7fefe06c12706d47e35211,pads,0,simdrop
