Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
5c1942e200849900010afdcd,0.5383485655285384,0.11973188396057598,6.647417335463398,0.6409180217783551,24.0,simdrop,5,4.0,1.5275252316519468
5c4a428161c51f0001e96b3f,0.528433625668286,0.20759985929414573,6.2067933046528845,1.018750823178676,21.0,simdrop,6,3.0,0.7559289460184544
5d3cc9010e510a00013df6f6,0.5444495187816255,0.1816623777566218,6.722425639796355,0.6226094322517958,13.0,simdrop,4,2.6,0.4898979485566356
5e7fefe06c12706d47e35211,0.46480301473439806,0.20333882376566573,6.170692960174257,1.0598916556039235,23.0,simdrop,5,3.8333333333333335,1.0671873729054748
5e8a76b3939b3072dc76fb5c,0.49312937417838054,0.1633863357535382,6.282683918829805,1.0416904241340323,17.0,simdrop,5,2.8333333333333335,1.4624940645653537
5ed9311e1a69d449577bb8cf,0.5377006692109825,0.26787763100002837,6.380364304413857,1.01392318978472,16.0,simdrop,3,4.0,0.7071067811865476
5f6c102b6ec04317fc9a8127,0.4769161885942846,0.12721459256928844,6.576609371738254,0.7714908588975213,22.0,simdrop,6,3.142857142857143,1.5518257844571737
5fc6df58f380620a09116434,0.4584588601292802,0.22208307705224947,6.236766184441422,1.0951025181697616,24.0,simdrop,4,4.8,2.6381811916545836
60da4f9aa1ced7efeecca18a,0.5254920164930369,0.20276806084979282,6.229449479611945,0.828174076010228,23.0,simdrop,6,3.2857142857142856,1.3850513878332367
60fcf1a04c245326d05076e0,0.5647838830259911,0.12945852729951007,6.583096192815096,0.728146462574266,15.0,simdrop,3,3.75,0.82915619758885
61035836646fb6ee2152f950,0.4159436542319747,0.1358560502611613,6.326910314378151,1.0968916494762475,22.0,simdrop,4,4.4,2.4166091947189146
612e6569f68929afb886fb5c,0.49376193162611937,0.23858796867071427,6.281004111575716,0.8779177696937923,35.0,simdrop,9,3.5,2.539685019840059
65512e3cc12f463bc327b7c3,0.48909539837459653,0.11066961221694892,6.756269528378804,0.5557439071722364,15.0,simdrop,5,2.5,0.7637626158259734
65778c02cde55736bb830eca,0.5495081294475186,0.1615775160659359,6.445471504104835,0.7560288444352535,20.0,simdrop,7,2.5,0.8660254037844386
6595e3b4dc9090390e4edb5f,0.529060079140687,0.1744625779960403,6.555304263960373,0.5760586831818546,24.0,simdrop,7,3.0,1.3228756555322954
65c10fdabd93bdc59f95835b,0.5493901104582501,0.10784290864763346,6.769558479756133,0.46807868423589827,9.0,simdrop,2,3.0,0.816496580927726
65c18079d4f634d2c8a0728c,0.5333629561921744,0.13720161136256462,6.684708478818797,0.8375624015437622,19.0,simdrop,4,3.8,0.7483314773547882
65cb586172a8853f26cc8eec,0.5783939659990103,0.18918929392689446,6.845703401065054,0.4591624085532065,14.0,simdrop,4,2.8,0.7483314773547882
65cbcaaab9e2fae86452af73,0.5060209356262333,0.1548426109390511,6.528624756505153,0.9658021456365681,23.0,simdrop,4,4.6,1.8547236990991407
65cc2139907d390e13480a97,0.5296443766294191,0.10958742557214363,6.8125237268411,0.4274868851643714,17.0,simdrop,5,2.8333333333333335,0.6871842709362768
65d26dcd13d9c8026aa92c4a,0.5126571360796253,0.12828099142138372,6.4644210654586844,0.7048997949384684,17.0,simdrop,6,2.4285714285714284,0.49487165930539345
65d6af2397543519d98f2498,0.4327342887305582,0.16299338671604968,6.168389704769484,0.8687558867003813,38.0,simdrop,8,4.222222222222222,1.9876159799998132
65e63b7fc845c96c2c2520bc,0.549989281254887,0.33004466967478024,6.142050784518974,1.1248077655136635,13.0,simdrop,4,2.6,1.019803902718557
65eeceee847314e8232923c9,0.5020711730128936,0.1547017923235243,6.1010164360604335,1.2205716340295083,4.0,simdrop,1,2.0,1.0
65ef726771fe85fd222416d1,0.48729246181291397,0.17484026474475345,6.46291075692371,0.7710861178560423,19.0,simdrop,3,4.75,1.7853571071357126
65f1ec7ae5a09035345db62e,0.5268746084470064,0.19835817077761184,6.653794987238569,0.8697943998564229,12.0,simdrop,3,3.0,0.7071067811865476
65f36565fe88b95d6806e496,0.5407758032244667,0.1765211846580845,6.476178638444465,0.7867145659725725,21.0,simdrop,6,3.0,0.7559289460184544
65f3d5016e5acb0fd67df6ee,0.42556338656945514,0.14953120147961527,6.283021406268756,1.1068817207569392,18.0,simdrop,4,3.6,1.7435595774162693
