SID,entry,evaluation,replacement
6596a5cad60ef105b6c18897,hammer,FOUND,hammer
6596a5cad60ef105b6c18897,screwdriver,FOUND,screwdriver
6596a5cad60ef105b6c18897,Phillips,EXCLUDE,EXCLUDE
6596a5cad60ef105b6c18897,screwdriver,FOUND,screwdriver
6596a5cad60ef105b6c18897,flat-head,EXCLUDE,EXCLUDE
6596a5cad60ef105b6c18897,screwdriver,FOUND,screwdriver
6596a5cad60ef105b6c18897,power,EXCLUDE,EXCLUDE
6596a5cad60ef105b6c18897,drill,FOUND,drill
6596a5cad60ef105b6c18897,pliers,FOUND,pliers
6596a5cad60ef105b6c18897,and,REPLACE,sander
6596a5cad60ef105b6c18897,needle,EXCLUDE,EXCLUDE
6596a5cad60ef105b6c18897,nose,EXCLUDE,EXCLUDE
6596a5cad60ef105b6c18897,pliers,FOUND,pliers
6596a5cad60ef105b6c18897,ratchet,FOUND,ratchet
6596a5cad60ef105b6c18897,power,EXCLUDE,EXCLUDE
6596a5cad60ef105b6c18897,sander,FOUND,sander
6596a5cad60ef105b6c18897,lamp,REPLACE,clamp
6596a5cad60ef105b6c18897,scissors,EXCLUDE,EXCLUDE
6596a5cad60ef105b6c18897,leveler,REPLACE,level
6596a5cad60ef105b6c18897,measuring,EXCLUDE,EXCLUDE
6596a5cad60ef105b6c18897,tape,REPLACE,stapler
6596a5cad60ef105b6c18897,staple,REPLACE,stapler
6596a5cad60ef105b6c18897,gun,EXCLUDE,EXCLUDE
5f1f3581b5cf3e103cc545c9,Hammer,REPLACE,hammer
5f1f3581b5cf3e103cc545c9,screwdriver,FOUND,screwdriver
5f1f3581b5cf3e103cc545c9,drill,FOUND,drill
5f1f3581b5cf3e103cc545c9,forklift,REPLACE,fork
5f1f3581b5cf3e103cc545c9,soldering,EXCLUDE,EXCLUDE
5f1f3581b5cf3e103cc545c9,tool,REPLACE,trowel
65e862f844f1b7a803bb3c5a,Caesars,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,Ox,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,monitor,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,what's,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,in,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,bud,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,cauliflower,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,Ama,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,screwdriver,FOUND,screwdriver
65e862f844f1b7a803bb3c5a,chizu,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,measuring,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,cups,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,Yolanda,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,gorilla,REPLACE,drill
65e862f844f1b7a803bb3c5a,Fox,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,gloves,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,knives,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,baking,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,dish,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,charbel,REPLACE,chisel
65e862f844f1b7a803bb3c5a,tongues,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,trowel,FOUND,trowel
65e862f844f1b7a803bb3c5a,flashlight,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,measuring,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,tape,REPLACE,stapler
65e862f844f1b7a803bb3c5a,saw,FOUND,saw
65e862f844f1b7a803bb3c5a,soldering,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,iron,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,chainsaw,FOUND,chainsaw
65e862f844f1b7a803bb3c5a,nail,REPLACE,pencil
65e862f844f1b7a803bb3c5a,gun,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,wrench,FOUND,wrench
65e862f844f1b7a803bb3c5a,kayak,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,mallet,FOUND,mallet
65e862f844f1b7a803bb3c5a,scraper,FOUND,scraper
65e862f844f1b7a803bb3c5a,assets,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,bolt,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,screw,REPLACE,scriber
65e862f844f1b7a803bb3c5a,not,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,new,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,speed,REPLACE,spade
65e862f844f1b7a803bb3c5a,Chevelle,REPLACE,level
65e862f844f1b7a803bb3c5a,lawn,REPLACE,planer
65e862f844f1b7a803bb3c5a,mower,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,pruning,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,shears,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,step,REPLACE,scythe
65e862f844f1b7a803bb3c5a,ladder,FOUND,ladder
629e241d171ec6698e05f149,hammer,FOUND,hammer
629e241d171ec6698e05f149,saw,FOUND,saw
629e241d171ec6698e05f149,jackhammer,REPLACE,tack hammer
629e241d171ec6698e05f149,screwdriver,FOUND,screwdriver
629e241d171ec6698e05f149,pliers,FOUND,pliers
629e241d171ec6698e05f149,chisel,FOUND,chisel
629e241d171ec6698e05f149,corkscrew,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,vehicle,REPLACE,vice
629e241d171ec6698e05f149,Jack,REPLACE,jack
629e241d171ec6698e05f149,kitchen,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,knife,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,nice,REPLACE,vice
629e241d171ec6698e05f149,hunting,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,knife,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,skinning,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,knife,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,Fisherman's,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,knife,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,floor,REPLACE,fork
629e241d171ec6698e05f149,stapler,FOUND,stapler
629e241d171ec6698e05f149,staple,REPLACE,stapler
629e241d171ec6698e05f149,gun,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,air,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,compressor,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,mallet,FOUND,mallet
629e241d171ec6698e05f149,rubber,REPLACE,router
629e241d171ec6698e05f149,mallet,FOUND,mallet
629e241d171ec6698e05f149,wooden,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,mallet,FOUND,mallet
629e241d171ec6698e05f149,table,REPLACE,table saw
629e241d171ec6698e05f149,saw,FOUND,saw
629e241d171ec6698e05f149,spoon,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,for work,REPLACE,fork
629e241d171ec6698e05f149,anvil,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,Tong's,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,Spencer's,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,wrench,FOUND,wrench
629e241d171ec6698e05f149,adjustable,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,wrench,FOUND,wrench
629e241d171ec6698e05f149,monkey,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,wrench,FOUND,wrench
629e241d171ec6698e05f149,nail,REPLACE,pencil
629e241d171ec6698e05f149,gun,EXCLUDE,EXCLUDE
629e241d171ec6698e05f149,nails,EXCLUDE,EXCLUDE
610c59ee34cc312d7ca55e45,screwdriver,FOUND,screwdriver
610c59ee34cc312d7ca55e45,hammer,FOUND,hammer
610c59ee34cc312d7ca55e45,add,REPLACE,ladder
610c59ee34cc312d7ca55e45,real,REPLACE,trowel
610c59ee34cc312d7ca55e45,Lorax,EXCLUDE,EXCLUDE
610c59ee34cc312d7ca55e45,Ranch,REPLACE,punch
610c59ee34cc312d7ca55e45,nail,REPLACE,pencil
610c59ee34cc312d7ca55e45,screw,REPLACE,scriber
610c59ee34cc312d7ca55e45,so,EXCLUDE,EXCLUDE
610c59ee34cc312d7ca55e45,loudly,EXCLUDE,EXCLUDE
610c59ee34cc312d7ca55e45,Spencer's,EXCLUDE,EXCLUDE
63ea4ab1ce4168cbe9f63775,hammer,FOUND,hammer
63ea4ab1ce4168cbe9f63775,hand,REPLACE,hand saw
63ea4ab1ce4168cbe9f63775,saw,FOUND,saw
63ea4ab1ce4168cbe9f63775,Zaza,EXCLUDE,EXCLUDE
63ea4ab1ce4168cbe9f63775,wrench,FOUND,wrench
63ea4ab1ce4168cbe9f63775,ratchet,FOUND,ratchet
