SID,entry
65c25cf77dca9d7ca7d9ebdb,carrot
65c25cf77dca9d7ca7d9ebdb,celery
65c25cf77dca9d7ca7d9ebdb,potato
65c25cf77dca9d7ca7d9ebdb,squash
65c25cf77dca9d7ca7d9ebdb,pumpkin
65c25cf77dca9d7ca7d9ebdb,ginger
65c25cf77dca9d7ca7d9ebdb,soybean
65c25cf77dca9d7ca7d9ebdb,onion
65c25cf77dca9d7ca7d9ebdb,radish
65c25cf77dca9d7ca7d9ebdb,asparagus
65c25cf77dca9d7ca7d9ebdb,radish
65c25cf77dca9d7ca7d9ebdb,lettuce
65c25cf77dca9d7ca7d9ebdb,mushroom
65c25cf77dca9d7ca7d9ebdb,corn
5d7ff4aa50fda7001a863736,broccoli
5d7ff4aa50fda7001a863736,carrot
5d7ff4aa50fda7001a863736,celery
5d7ff4aa50fda7001a863736,cabbage
5d7ff4aa50fda7001a863736,asparagus
5d7ff4aa50fda7001a863736,pea
5d7ff4aa50fda7001a863736,lettuce
5d7ff4aa50fda7001a863736,cauliflower
5d7ff4aa50fda7001a863736,corn
5d7ff4aa50fda7001a863736,eggplant
5d7ff4aa50fda7001a863736,cucumber
5d7ff4aa50fda7001a863736,potato
5d7ff4aa50fda7001a863736,soybean
5d7ff4aa50fda7001a863736,spinach
5d7ff4aa50fda7001a863736,onion
5d7ff4aa50fda7001a863736,garlic
5d7ff4aa50fda7001a863736,turnip
610c59ee34cc312d7ca55e45,carrot
610c59ee34cc312d7ca55e45,cauliflower
610c59ee34cc312d7ca55e45,broccoli
610c59ee34cc312d7ca55e45,asparagus
610c59ee34cc312d7ca55e45,soybean
610c59ee34cc312d7ca55e45,corn
610c59ee34cc312d7ca55e45,lettuce
610c59ee34cc312d7ca55e45,squash
610c59ee34cc312d7ca55e45,cucumber
610c59ee34cc312d7ca55e45,onion
610c59ee34cc312d7ca55e45,mushroom
610c59ee34cc312d7ca55e45,spinach
610c59ee34cc312d7ca55e45,garlic
65cc19b4b3d48a22dfc6756d,cucumber
65cc19b4b3d48a22dfc6756d,broccoli
65cc19b4b3d48a22dfc6756d,spinach
65cc19b4b3d48a22dfc6756d,lettuce
65cc19b4b3d48a22dfc6756d,cabbage
65cc19b4b3d48a22dfc6756d,corn
65cc19b4b3d48a22dfc6756d,bok choy
65cc19b4b3d48a22dfc6756d,cauliflower
65cc19b4b3d48a22dfc6756d,watercress
601f6a2231a2904b79df1671,carrot
601f6a2231a2904b79df1671,pea
601f6a2231a2904b79df1671,potato
601f6a2231a2904b79df1671,celery
601f6a2231a2904b79df1671,bok choy
601f6a2231a2904b79df1671,soybean
601f6a2231a2904b79df1671,tomato
601f6a2231a2904b79df1671,radish
601f6a2231a2904b79df1671,cucumber
601f6a2231a2904b79df1671,zucchini
601f6a2231a2904b79df1671,eggplant
601f6a2231a2904b79df1671,cauliflower
601f6a2231a2904b79df1671,broccoli
601f6a2231a2904b79df1671,asparagus
601f6a2231a2904b79df1671,spinach
601f6a2231a2904b79df1671,lettuce
601f6a2231a2904b79df1671,cabbage
601f6a2231a2904b79df1671,onion
601f6a2231a2904b79df1671,onion
601f6a2231a2904b79df1671,garlic
601f6a2231a2904b79df1671,chickpea
601f6a2231a2904b79df1671,corn
63ea4ab1ce4168cbe9f63775,broccoli
63ea4ab1ce4168cbe9f63775,spinach
63ea4ab1ce4168cbe9f63775,rapini
63ea4ab1ce4168cbe9f63775,lettuce
63ea4ab1ce4168cbe9f63775,celery
63ea4ab1ce4168cbe9f63775,lettuce
63ea4ab1ce4168cbe9f63775,cabbage
63ea4ab1ce4168cbe9f63775,eggplant
63ea4ab1ce4168cbe9f63775,zucchini
63ea4ab1ce4168cbe9f63775,scallion
63ea4ab1ce4168cbe9f63775,onion
63ea4ab1ce4168cbe9f63775,onion
63ea4ab1ce4168cbe9f63775,onion
63ea4ab1ce4168cbe9f63775,radish
63ea4ab1ce4168cbe9f63775,onion
63ea4ab1ce4168cbe9f63775,corn
63ea4ab1ce4168cbe9f63775,potato
63ea4ab1ce4168cbe9f63775,ginger
63ea4ab1ce4168cbe9f63775,beetroot
63ea4ab1ce4168cbe9f63775,cauliflower
63ea4ab1ce4168cbe9f63775,corn
63ea4ab1ce4168cbe9f63775,asparagus
63ea4ab1ce4168cbe9f63775,soybean
63ea4ab1ce4168cbe9f63775,artichoke
6596a5cad60ef105b6c18897,cabbage
6596a5cad60ef105b6c18897,kale
6596a5cad60ef105b6c18897,broccoli
6596a5cad60ef105b6c18897,collard greens
6596a5cad60ef105b6c18897,asparagus
6596a5cad60ef105b6c18897,chard
6596a5cad60ef105b6c18897,rapini
6596a5cad60ef105b6c18897,chard
6596a5cad60ef105b6c18897,spinach
6596a5cad60ef105b6c18897,arugula
6596a5cad60ef105b6c18897,lettuce
6596a5cad60ef105b6c18897,lettuce
6596a5cad60ef105b6c18897,radicchio
6596a5cad60ef105b6c18897,radish
6596a5cad60ef105b6c18897,tomato
6596a5cad60ef105b6c18897,soybean
6596a5cad60ef105b6c18897,celery
6596a5cad60ef105b6c18897,carrot
6596a5cad60ef105b6c18897,kale
6596a5cad60ef105b6c18897,rutabaga
6596a5cad60ef105b6c18897,broccolini
6596a5cad60ef105b6c18897,garlic
65e358d9c5e3ee026268b2a7,carrot
65e358d9c5e3ee026268b2a7,soybean
65e358d9c5e3ee026268b2a7,celery
65e358d9c5e3ee026268b2a7,potato
65e358d9c5e3ee026268b2a7,celery
65e358d9c5e3ee026268b2a7,lettuce
65e358d9c5e3ee026268b2a7,corn
65e358d9c5e3ee026268b2a7,avocado
65e358d9c5e3ee026268b2a7,radish
65e358d9c5e3ee026268b2a7,onion
65e358d9c5e3ee026268b2a7,eggplant
65e358d9c5e3ee026268b2a7,broccoli
65e358d9c5e3ee026268b2a7,cauliflower
65e358d9c5e3ee026268b2a7,potato
65e358d9c5e3ee026268b2a7,mushroom
65e358d9c5e3ee026268b2a7,spinach
65e358d9c5e3ee026268b2a7,kale
65e358d9c5e3ee026268b2a7,asparagus
65e358d9c5e3ee026268b2a7,onion
654108d38225e168af4b1fa0,carrot
654108d38225e168af4b1fa0,corn
654108d38225e168af4b1fa0,celery
654108d38225e168af4b1fa0,asparagus
654108d38225e168af4b1fa0,soybean
654108d38225e168af4b1fa0,lima bean
654108d38225e168af4b1fa0,broccoli
654108d38225e168af4b1fa0,zucchini
654108d38225e168af4b1fa0,cucumber
654108d38225e168af4b1fa0,eggplant
654108d38225e168af4b1fa0,tomato
654108d38225e168af4b1fa0,pea
654108d38225e168af4b1fa0,lettuce
654108d38225e168af4b1fa0,onion
654108d38225e168af4b1fa0,squash
654108d38225e168af4b1fa0,pumpkin
654108d38225e168af4b1fa0,potato
5f1f3581b5cf3e103cc545c9,cucumber
6001487015e5f62961639e7d,lettuce
6001487015e5f62961639e7d,tomato
6001487015e5f62961639e7d,cucumber
6001487015e5f62961639e7d,onion
6001487015e5f62961639e7d,cabbage
6001487015e5f62961639e7d,corn
6001487015e5f62961639e7d,potato
6001487015e5f62961639e7d,carrot
6001487015e5f62961639e7d,squash
6001487015e5f62961639e7d,radish
6001487015e5f62961639e7d,okra
6001487015e5f62961639e7d,zucchini
6001487015e5f62961639e7d,kale
6001487015e5f62961639e7d,broccoli
6001487015e5f62961639e7d,cauliflower
6073e0d481953bbd2cd61145,broccoli
6073e0d481953bbd2cd61145,cabbage
6073e0d481953bbd2cd61145,lettuce
6073e0d481953bbd2cd61145,onion
6073e0d481953bbd2cd61145,tomato
6073e0d481953bbd2cd61145,soybean
5f5aa60bef062519ff711fe6,cucumber
5f5aa60bef062519ff711fe6,broccoli
5f5aa60bef062519ff711fe6,potato
5f5aa60bef062519ff711fe6,asparagus
5f5aa60bef062519ff711fe6,bok choy
5f5aa60bef062519ff711fe6,lettuce
5f5aa60bef062519ff711fe6,cauliflower
5f5aa60bef062519ff711fe6,soybean
65b15afd94153c1f50c92493,tomato
65b15afd94153c1f50c92493,potato
65b15afd94153c1f50c92493,turnip
65b15afd94153c1f50c92493,eggplant
65b15afd94153c1f50c92493,artichoke
65b15afd94153c1f50c92493,cauliflower
65b15afd94153c1f50c92493,cabbage
65b15afd94153c1f50c92493,asparagus
65b15afd94153c1f50c92493,kale
65b15afd94153c1f50c92493,onion
65b15afd94153c1f50c92493,potato
65b15afd94153c1f50c92493,chard
65b15afd94153c1f50c92493,spinach
65b15afd94153c1f50c92493,lettuce
65b15afd94153c1f50c92493,corn
65b15afd94153c1f50c92493,pumpkin
65b15afd94153c1f50c92493,squash
65b15afd94153c1f50c92493,soybean
65b15afd94153c1f50c92493,radish
65b15afd94153c1f50c92493,mushroom
5885f97f41da4500014d3645,onion
5885f97f41da4500014d3645,carrot
5885f97f41da4500014d3645,lettuce
5885f97f41da4500014d3645,spinach
5885f97f41da4500014d3645,squash
5885f97f41da4500014d3645,eggplant
5885f97f41da4500014d3645,broccoli
5885f97f41da4500014d3645,asparagus
5885f97f41da4500014d3645,radish
6081806ab383aa89f6c61940,broccoli
6081806ab383aa89f6c61940,spinach
6081806ab383aa89f6c61940,squash
6081806ab383aa89f6c61940,cabbage
6081806ab383aa89f6c61940,okra
6081806ab383aa89f6c61940,tomato
6081806ab383aa89f6c61940,cucumber
6081806ab383aa89f6c61940,zucchini
6081806ab383aa89f6c61940,carrot
6081806ab383aa89f6c61940,potato
6081806ab383aa89f6c61940,potato
6081806ab383aa89f6c61940,chard
6081806ab383aa89f6c61940,leek
6081806ab383aa89f6c61940,mushroom
6081806ab383aa89f6c61940,artichoke
6081806ab383aa89f6c61940,zucchini
6081806ab383aa89f6c61940,cilantro
6081806ab383aa89f6c61940,cauliflower
6081806ab383aa89f6c61940,collard greens
61363ce02e6022a741d63a6e,carrot
61363ce02e6022a741d63a6e,pea
61363ce02e6022a741d63a6e,avocado
61363ce02e6022a741d63a6e,potato
61363ce02e6022a741d63a6e,cauliflower
61363ce02e6022a741d63a6e,soybean
61363ce02e6022a741d63a6e,broccoli
61363ce02e6022a741d63a6e,zucchini
61363ce02e6022a741d63a6e,corn
61363ce02e6022a741d63a6e,celery
61363ce02e6022a741d63a6e,avocado
61363ce02e6022a741d63a6e,avocado
61363ce02e6022a741d63a6e,onion
61363ce02e6022a741d63a6e,leek
61363ce02e6022a741d63a6e,garlic
61363ce02e6022a741d63a6e,ginger
60d731567049e5132e3cc4d4,broccoli
60d731567049e5132e3cc4d4,cauliflower
60d731567049e5132e3cc4d4,cucumber
60d731567049e5132e3cc4d4,zucchini
60d731567049e5132e3cc4d4,corn
60d731567049e5132e3cc4d4,squash
60d731567049e5132e3cc4d4,squash
60d731567049e5132e3cc4d4,squash
60d731567049e5132e3cc4d4,carrot
60d731567049e5132e3cc4d4,potato
60d731567049e5132e3cc4d4,turnip
60d731567049e5132e3cc4d4,lettuce
60d731567049e5132e3cc4d4,spinach
60d731567049e5132e3cc4d4,arugula
60d731567049e5132e3cc4d4,onion
60d731567049e5132e3cc4d4,onion
60d731567049e5132e3cc4d4,onion
60d731567049e5132e3cc4d4,scallion
60d731567049e5132e3cc4d4,zucchini
60d731567049e5132e3cc4d4,broccolini
60d731567049e5132e3cc4d4,lima bean
60d731567049e5132e3cc4d4,corn
600f9342e7bc5518fa9ca92a,potato
600f9342e7bc5518fa9ca92a,corn
600f9342e7bc5518fa9ca92a,carrot
600f9342e7bc5518fa9ca92a,garlic
600f9342e7bc5518fa9ca92a,soybean
600f9342e7bc5518fa9ca92a,cucumber
600f9342e7bc5518fa9ca92a,broccoli
600f9342e7bc5518fa9ca92a,tomato
600f9342e7bc5518fa9ca92a,pumpkin
600f9342e7bc5518fa9ca92a,cucumber
65e862f844f1b7a803bb3c5a,broccoli
65e862f844f1b7a803bb3c5a,celery
65e862f844f1b7a803bb3c5a,onion
65e862f844f1b7a803bb3c5a,cauliflower
65e862f844f1b7a803bb3c5a,cabbage
65e862f844f1b7a803bb3c5a,mushroom
65e862f844f1b7a803bb3c5a,spinach
65e862f844f1b7a803bb3c5a,corn
65e862f844f1b7a803bb3c5a,soybean
65e862f844f1b7a803bb3c5a,radish
65e862f844f1b7a803bb3c5a,soybean
65e862f844f1b7a803bb3c5a,cauliflower
65e862f844f1b7a803bb3c5a,chard
65e862f844f1b7a803bb3c5a,celeriac
65e862f844f1b7a803bb3c5a,spinach
65e862f844f1b7a803bb3c5a,cabbage
65e862f844f1b7a803bb3c5a,chayote
65e862f844f1b7a803bb3c5a,onion
65e862f844f1b7a803bb3c5a,ginger
65e862f844f1b7a803bb3c5a,potato
65e862f844f1b7a803bb3c5a,pumpkin
65e862f844f1b7a803bb3c5a,pea
65e862f844f1b7a803bb3c5a,eggplant
656e3caa43f1f7f0615252ff,cauliflower
656e3caa43f1f7f0615252ff,broccoli
656e3caa43f1f7f0615252ff,asparagus
656e3caa43f1f7f0615252ff,kale
656e3caa43f1f7f0615252ff,arugula
656e3caa43f1f7f0615252ff,onion
656e3caa43f1f7f0615252ff,onion
656e3caa43f1f7f0615252ff,onion
656e3caa43f1f7f0615252ff,cucumber
656e3caa43f1f7f0615252ff,zucchini
656e3caa43f1f7f0615252ff,squash
656e3caa43f1f7f0615252ff,squash
656e3caa43f1f7f0615252ff,yam
656e3caa43f1f7f0615252ff,potato
656e3caa43f1f7f0615252ff,potato
656e3caa43f1f7f0615252ff,potato
656e3caa43f1f7f0615252ff,potato
656e3caa43f1f7f0615252ff,carrot
656e3caa43f1f7f0615252ff,daikon
656e3caa43f1f7f0615252ff,scallion
656e3caa43f1f7f0615252ff,scallion
656e3caa43f1f7f0615252ff,cucumber
656e3caa43f1f7f0615252ff,onion
656e3caa43f1f7f0615252ff,ginger
63619eb02e5bd8f4f7bd138a,carrot
63619eb02e5bd8f4f7bd138a,broccoli
63619eb02e5bd8f4f7bd138a,spinach
63619eb02e5bd8f4f7bd138a,kale
63619eb02e5bd8f4f7bd138a,lettuce
63619eb02e5bd8f4f7bd138a,cauliflower
63619eb02e5bd8f4f7bd138a,okra
63619eb02e5bd8f4f7bd138a,potato
63619eb02e5bd8f4f7bd138a,turnip
63619eb02e5bd8f4f7bd138a,radish
63619eb02e5bd8f4f7bd138a,cilantro
63619eb02e5bd8f4f7bd138a,kale
63619eb02e5bd8f4f7bd138a,pea
63619eb02e5bd8f4f7bd138a,sorrel
63619eb02e5bd8f4f7bd138a,tomato
63619eb02e5bd8f4f7bd138a,sorrel
63619eb02e5bd8f4f7bd138a,sorrel
65d54b3b524fcafb543d1b23,carrot
65d54b3b524fcafb543d1b23,cucumber
65d54b3b524fcafb543d1b23,kale
65d54b3b524fcafb543d1b23,cilantro
65d54b3b524fcafb543d1b23,tomato
65d54b3b524fcafb543d1b23,potato
