SID,entry,timepoint,evaluation,replacement
65cb63e160bb47fbf9349269,dogs,0.0,FOUND,dogs
65cb63e160bb47fbf9349269,cats,0.0,REPLACE,cat
65cb63e160bb47fbf9349269,rabbits,0.0,REPLACE,rabbit
65cb63e160bb47fbf9349269,turtles,0.0,REPLACE,turtle
65cb63e160bb47fbf9349269,squirrels,0.0,REPLACE,squirrel
65cb63e160bb47fbf9349269,tortoises,0.0,REPLACE,tortoise
65cb63e160bb47fbf9349269,rats,1.0,REPLACE,rat
65cb63e160bb47fbf9349269,opossums,2.5,REPLACE,opossum
65cb63e160bb47fbf9349269,Birds,1.3,REPLACE,bird
65cb63e160bb47fbf9349269,Chipmunks,0.0,REPLACE,chipmunk
65cb63e160bb47fbf9349269,pigeons,0.0,REPLACE,pigeon
65cb63e160bb47fbf9349269,bald eagles,3.1,REPLACE,bald eagle
65cb63e160bb47fbf9349269,bobcats,3.5,REPLACE,bobcat
65cb63e160bb47fbf9349269,lions,-0.100000000000001,FOUND,lions
65cb63e160bb47fbf9349269,tigers,0.0,REPLACE,tiger
65cb63e160bb47fbf9349269,elephants,0.0,REPLACE,elephant
65cb63e160bb47fbf9349269,giraffes,0.0,REPLACE,giraffe
65cb63e160bb47fbf9349269,rhinosaurus,1.3,REPLACE,brachiosaurus
65cb63e160bb47fbf9349269,snakes,2.59999999999999,REPLACE,snake
65cb63e160bb47fbf9349269,Buffalo,8.2,REPLACE,buffalo
65cb63e160bb47fbf9349269,cows,0.0,FOUND,cows
65cb63e160bb47fbf9349269,chickens,0.0,REPLACE,chicken
65cb63e160bb47fbf9349269,deer,0.899999999999999,FOUND,deer
65cb63e160bb47fbf9349269,pigs,3.2,REPLACE,pig
65cb63e160bb47fbf9349269,horses,1.5,REPLACE,horse
65cb63e160bb47fbf9349269,kangaroos,1.9,REPLACE,kangaroo
65cb63e160bb47fbf9349269,koalas,2.8,REPLACE,koala
65cb63e160bb47fbf9349269,moose,6.6,FOUND,moose
65cb63e160bb47fbf9349269,penguins,4.5,REPLACE,penguin
65cb63e160bb47fbf9349269,polar bears,1.60000000000001,REPLACE,polar bear
65cb63e160bb47fbf9349269,black bears,0.0,REPLACE,black bear
65cb63e160bb47fbf9349269,brown bears,0.0,REPLACE,brown bear
65cb63e160bb47fbf9349269,orangutans,13.5,REPLACE,orangutan
65cb63e160bb47fbf9349269,monkeys,0.0,FOUND,monkeys
65cb63e160bb47fbf9349269,fish,3.7,FOUND,fish
65cb63e160bb47fbf9349269,whales,0.0,REPLACE,whale
65cb63e160bb47fbf9349269,crabs,0.0,REPLACE,crab
65cb63e160bb47fbf9349269,seahorses,3.7,REPLACE,seahorse
65cb63e160bb47fbf9349269,dolphins,0.0,REPLACE,dolphin
65cb63e160bb47fbf9349269,manta rays,3.5,REPLACE,manta ray
65cb63e160bb47fbf9349269,jellyfish,2.59999999999999,FOUND,jellyfish
65d6a09286a0c99e632a46dd,Birds,0.0,REPLACE,bird
65d6a09286a0c99e632a46dd,cats,1.0,REPLACE,cat
65d6a09286a0c99e632a46dd,dogs,0.0,FOUND,dogs
65d6a09286a0c99e632a46dd,lizards,0.0,REPLACE,lizard
65d6a09286a0c99e632a46dd,frogs,1.9,REPLACE,frog
65d6a09286a0c99e632a46dd,fish,3.1,FOUND,fish
65d6a09286a0c99e632a46dd,tigers,2.8,REPLACE,tiger
65d6a09286a0c99e632a46dd,lions,0.0,FOUND,lions
65d6a09286a0c99e632a46dd,elephants,1.8,REPLACE,elephant
65d6a09286a0c99e632a46dd,monkeys,0.0,FOUND,monkeys
65d6a09286a0c99e632a46dd,pandas,6.3,REPLACE,panda
65d6a09286a0c99e632a46dd,horse,0.0,FOUND,horse
65d6a09286a0c99e632a46dd,snake,1.2,FOUND,snake
65d6a09286a0c99e632a46dd,deer,2.5,FOUND,deer
65d6a09286a0c99e632a46dd,pandas,1.5,REPLACE,panda
65d6a09286a0c99e632a46dd,raccoons,1.0,REPLACE,raccoon
65d6a09286a0c99e632a46dd,Jaguars,2.5,REPLACE,jaguar
65d6a09286a0c99e632a46dd,cougar,4.6,FOUND,cougar
65d6a09286a0c99e632a46dd,hamster,0.0,FOUND,hamster
65d6a09286a0c99e632a46dd,camel,1.5,FOUND,camel
65d6a09286a0c99e632a46dd,bear,8.4,FOUND,bear
65d6a09286a0c99e632a46dd,hyena,7.59999999999999,FOUND,hyena
65d6a09286a0c99e632a46dd,badger,1.7,FOUND,badger
65d6a09286a0c99e632a46dd,wolverine,2.5,FOUND,wolverine
65d6a09286a0c99e632a46dd,porcupine,0.699999999999989,FOUND,porcupine
65d6a09286a0c99e632a46dd,Chipmunks,7.2,REPLACE,chipmunk
65d6a09286a0c99e632a46dd,zebra,4.59999999999999,FOUND,zebra
65d6a09286a0c99e632a46dd,hippo,2.8,FOUND,hippo
65d6a09286a0c99e632a46dd,giraffe,5.59999999999999,FOUND,giraffe
65d6a09286a0c99e632a46dd,Fox,4.39999999999999,REPLACE,ox
65d6a09286a0c99e632a46dd,gator,0.700000000000003,FOUND,gator
65e1f75ab3efd22e847cfbf0,dog,0.0,FOUND,dog
65e1f75ab3efd22e847cfbf0,cat,0.0,FOUND,cat
65e1f75ab3efd22e847cfbf0,elephant,0.0,FOUND,elephant
65e1f75ab3efd22e847cfbf0,bird,0.0,FOUND,bird
65e1f75ab3efd22e847cfbf0,squirrel,0.0,FOUND,squirrel
65e1f75ab3efd22e847cfbf0,lion,1.9,FOUND,lion
65e1f75ab3efd22e847cfbf0,tiger,0.0,FOUND,tiger
65e1f75ab3efd22e847cfbf0,monkey,4.2,FOUND,monkey
65e1f75ab3efd22e847cfbf0,wolf,3.4,FOUND,wolf
65e1f75ab3efd22e847cfbf0,coyote,0.0,FOUND,coyote
65e1f75ab3efd22e847cfbf0,goat,0.0,FOUND,goat
65e1f75ab3efd22e847cfbf0,chicken,0.0,FOUND,chicken
65e1f75ab3efd22e847cfbf0,bear,0.0,FOUND,bear
65e1f75ab3efd22e847cfbf0,guinea pig,1.7,FOUND,guinea pig
65e1f75ab3efd22e847cfbf0,penguin,0.0,FOUND,penguin
65e1f75ab3efd22e847cfbf0,snake,2.5,FOUND,snake
65e1f75ab3efd22e847cfbf0,eagle,0.0,FOUND,eagle
65e1f75ab3efd22e847cfbf0,parrot,0.899999999999999,FOUND,parrot
65e1f75ab3efd22e847cfbf0,lizard,2.0,FOUND,lizard
65e1f75ab3efd22e847cfbf0,Akita,2.4,REPLACE,akita
65e1f75ab3efd22e847cfbf0,malamute,1.5,FOUND,malamute
65e1f75ab3efd22e847cfbf0,fox,7.0,FOUND,fox
65e1f75ab3efd22e847cfbf0,hare,0.0,FOUND,hare
65e1f75ab3efd22e847cfbf0,rabbit,0.0,FOUND,rabbit
65e1f75ab3efd22e847cfbf0,snail,3.4,FOUND,snail
65e1f75ab3efd22e847cfbf0,Bulldog,0.0,REPLACE,bulldog
65e1f75ab3efd22e847cfbf0,cattle dog,0.0,REPLACE,cattle
65e1f75ab3efd22e847cfbf0,Chicken,2.0,REPLACE,chicken
65e1f75ab3efd22e847cfbf0,Shark,4.60000000000001,REPLACE,shark
65e1f75ab3efd22e847cfbf0,rat,0.0,FOUND,rat
65e1f75ab3efd22e847cfbf0,owl,2.2,FOUND,owl
65e1f75ab3efd22e847cfbf0,Hound,4.7,REPLACE,hound
65e1f75ab3efd22e847cfbf0,bat,0.0,FOUND,bat
65e1f75ab3efd22e847cfbf0,beagle,1.59999999999999,FOUND,beagle
65e1f75ab3efd22e847cfbf0,beaver,2.10000000000001,FOUND,beaver
65e1f75ab3efd22e847cfbf0,Panda,13.9,REPLACE,panda
65e1f75ab3efd22e847cfbf0,Cobra,0.0,REPLACE,cobra
65e1f75ab3efd22e847cfbf0,camel,0.0,FOUND,camel
65e1f75ab3efd22e847cfbf0,turtle,1.19999999999999,FOUND,turtle
65e1f75ab3efd22e847cfbf0,hen,1.90000000000001,FOUND,hen
65e1f75ab3efd22e847cfbf0,alligator,0.0,FOUND,alligator
65e1f75ab3efd22e847cfbf0,whale,0.0,FOUND,whale
65e1f75ab3efd22e847cfbf0,chimpanzee,3.09999999999999,FOUND,chimpanzee
65e1f75ab3efd22e847cfbf0,gorilla,0.0,FOUND,gorilla
65e1f75ab3efd22e847cfbf0,bat,2.19999999999999,FOUND,bat
65e1f75ab3efd22e847cfbf0,deer,0.0,FOUND,deer
65e1f75ab3efd22e847cfbf0,kangaroo,1.3,FOUND,kangaroo
65e1f75ab3efd22e847cfbf0,koala,0.0,FOUND,koala
65e1f75ab3efd22e847cfbf0,zebra,0.0,FOUND,zebra
65e1f75ab3efd22e847cfbf0,Mouse,0.0,REPLACE,mouse
65e862f844f1b7a803bb3c5a,gorilla,0.0,FOUND,gorilla
65e862f844f1b7a803bb3c5a,walrus,0.0,FOUND,walrus
65e862f844f1b7a803bb3c5a,alligator,0.0,FOUND,alligator
65e862f844f1b7a803bb3c5a,bald eagle,1.2,FOUND,bald eagle
65e862f844f1b7a803bb3c5a,wolf,1.0,FOUND,wolf
65e862f844f1b7a803bb3c5a,deer,0.9,FOUND,deer
65e862f844f1b7a803bb3c5a,cats,0.0,REPLACE,cat
65e862f844f1b7a803bb3c5a,monkey,0.0,FOUND,monkey
65e862f844f1b7a803bb3c5a,giraffe,1.0,FOUND,giraffe
65e862f844f1b7a803bb3c5a,kangaroo,1.5,FOUND,kangaroo
65e862f844f1b7a803bb3c5a,leopard,1.3,FOUND,leopard
65e862f844f1b7a803bb3c5a,lion,0.0,FOUND,lion
65e862f844f1b7a803bb3c5a,zebra,0.0,FOUND,zebra
65e862f844f1b7a803bb3c5a,hippopotamus,1.2,FOUND,hippopotamus
65e862f844f1b7a803bb3c5a,koala,1.6,FOUND,koala
65e862f844f1b7a803bb3c5a,penguin,0.600000000000001,FOUND,penguin
65e862f844f1b7a803bb3c5a,shark,1.9,FOUND,shark
65e862f844f1b7a803bb3c5a,whale,0.0,FOUND,whale
65e862f844f1b7a803bb3c5a,tiger,1.6,FOUND,tiger
65e862f844f1b7a803bb3c5a,camel,0.0,FOUND,camel
65e862f844f1b7a803bb3c5a,dolphin,3.2,FOUND,dolphin
65e862f844f1b7a803bb3c5a,elephants,0.0,REPLACE,elephant
