Subject,Fluency_Item,Switch_Value,Switch_Method
5d7ff4aa50fda7001a863736,dog,2,norms_associative
5d7ff4aa50fda7001a863736,cat,0,norms_associative
5d7ff4aa50fda7001a863736,lion,1,norms_associative
5d7ff4aa50fda7001a863736,tiger,0,norms_associative
5d7ff4aa50fda7001a863736,bear,1,norms_associative
5d7ff4aa50fda7001a863736,opah,1,norms_associative
5d7ff4aa50fda7001a863736,wolf,1,norms_associative
5d7ff4aa50fda7001a863736,fox,0,norms_associative
5d7ff4aa50fda7001a863736,hamster,1,norms_associative
5d7ff4aa50fda7001a863736,rabbit,0,norms_associative
5d7ff4aa50fda7001a863736,squirrel,0,norms_associative
5d7ff4aa50fda7001a863736,kangaroo,1,norms_associative
5d7ff4aa50fda7001a863736,koala,0,norms_associative
5d7ff4aa50fda7001a863736,horse,1,norms_associative
5d7ff4aa50fda7001a863736,giraffe,1,norms_associative
5d7ff4aa50fda7001a863736,elephant,0,norms_associative
5d7ff4aa50fda7001a863736,pig,1,norms_associative
5d7ff4aa50fda7001a863736,cow,0,norms_associative
5d7ff4aa50fda7001a863736,goats,0,norms_associative
5d7ff4aa50fda7001a863736,zebra,1,norms_associative
5d7ff4aa50fda7001a863736,lamb,1,norms_associative
5d7ff4aa50fda7001a863736,sheep,0,norms_associative
5d7ff4aa50fda7001a863736,camel,1,norms_associative
5d7ff4aa50fda7001a863736,panda bear,1,norms_associative
5d7ff4aa50fda7001a863736,polar bear,0,norms_associative
5d7ff4aa50fda7001a863736,porcupine,1,norms_associative
5d7ff4aa50fda7001a863736,rhinoceros,1,norms_associative
5d7ff4aa50fda7001a863736,hippo,1,norms_associative
5d7ff4aa50fda7001a863736,mountain lion,1,norms_associative
5d7ff4aa50fda7001a863736,panther,0,norms_associative
5d7ff4aa50fda7001a863736,leopard,0,norms_associative
5d7ff4aa50fda7001a863736,monkey,0,norms_associative
5d7ff4aa50fda7001a863736,seal,1,norms_associative
5d7ff4aa50fda7001a863736,sea lion,0,norms_associative
5d7ff4aa50fda7001a863736,walrus,0,norms_associative
5d7ff4aa50fda7001a863736,whale,0,norms_associative
5d7ff4aa50fda7001a863736,shark,0,norms_associative
5d7ff4aa50fda7001a863736,mouse,1,norms_associative
5d7ff4aa50fda7001a863736,rat,0,norms_associative
5d7ff4aa50fda7001a863736,owl,1,norms_associative
5d7ff4aa50fda7001a863736,otter,1,norms_associative
5d7ff4aa50fda7001a863736,jaguar,1,norms_associative
5d7ff4aa50fda7001a863736,rattlesnake,1,norms_associative
5d7ff4aa50fda7001a863736,buffalo,1,norms_associative
5d7ff4aa50fda7001a863736,bison,0,norms_associative
5f5aa60bef062519ff711fe6,dog,2,norms_associative
5f5aa60bef062519ff711fe6,cat,0,norms_associative
5f5aa60bef062519ff711fe6,bird,1,norms_associative
5f5aa60bef062519ff711fe6,kangaroo,1,norms_associative
5f5aa60bef062519ff711fe6,elephant,1,norms_associative
5f5aa60bef062519ff711fe6,axolotl,1,norms_associative
5f5aa60bef062519ff711fe6,frog,0,norms_associative
5f5aa60bef062519ff711fe6,giraffe,1,norms_associative
5f5aa60bef062519ff711fe6,zebra,0,norms_associative
5f5aa60bef062519ff711fe6,lion,0,norms_associative
5f5aa60bef062519ff711fe6,cheetah,0,norms_associative
5f5aa60bef062519ff711fe6,leopard,0,norms_associative
5f5aa60bef062519ff711fe6,alligator,1,norms_associative
5f5aa60bef062519ff711fe6,crocodile,0,norms_associative
5f5aa60bef062519ff711fe6,hippopotamus,1,norms_associative
5f5aa60bef062519ff711fe6,penguin,1,norms_associative
5f5aa60bef062519ff711fe6,polar bear,0,norms_associative
5f5aa60bef062519ff711fe6,brown bear,1,norms_associative
5f5aa60bef062519ff711fe6,black bear,0,norms_associative
5f5aa60bef062519ff711fe6,squirrel,0,norms_associative
5f5aa60bef062519ff711fe6,meerkat,1,norms_associative
5f5aa60bef062519ff711fe6,lizard,1,norms_associative
5f5aa60bef062519ff711fe6,snake,0,norms_associative
5f5aa60bef062519ff711fe6,monkey,1,norms_associative
5f5aa60bef062519ff711fe6,ape,0,norms_associative
5f5aa60bef062519ff711fe6,baboon,0,norms_associative
5f5aa60bef062519ff711fe6,hyena,1,norms_associative
5f5aa60bef062519ff711fe6,whale,1,norms_associative
5f5aa60bef062519ff711fe6,fish,0,norms_associative
5f5aa60bef062519ff711fe6,shark,0,norms_associative
5f5aa60bef062519ff711fe6,octopus,0,norms_associative
5f5aa60bef062519ff711fe6,pelican,1,norms_associative
5f5aa60bef062519ff711fe6,sparrow,0,norms_associative
5f5aa60bef062519ff711fe6,chicken,0,norms_associative
5f5aa60bef062519ff711fe6,goat,0,norms_associative
5f5aa60bef062519ff711fe6,cow,0,norms_associative
5f5aa60bef062519ff711fe6,duck,1,norms_associative
5f5aa60bef062519ff711fe6,goose,1,norms_associative
60a48adfe091e410f4eaba34,cat,2,norms_associative
60a48adfe091e410f4eaba34,dogs,0,norms_associative
60a48adfe091e410f4eaba34,lions,1,norms_associative
60a48adfe091e410f4eaba34,bear,1,norms_associative
60a48adfe091e410f4eaba34,cougar,0,norms_associative
60a48adfe091e410f4eaba34,elephant,1,norms_associative
60a48adfe091e410f4eaba34,giraffe,0,norms_associative
60a48adfe091e410f4eaba34,meerkat,0,norms_associative
60a48adfe091e410f4eaba34,kangaroo,1,norms_associative
60a48adfe091e410f4eaba34,bird,1,norms_associative
60a48adfe091e410f4eaba34,cockatiel,0,norms_associative
60a48adfe091e410f4eaba34,bat,1,norms_associative
60a48adfe091e410f4eaba34,lizard,1,norms_associative
60a48adfe091e410f4eaba34,squirrel,1,norms_associative
60a48adfe091e410f4eaba34,monkeys,1,norms_associative
60a48adfe091e410f4eaba34,chimpanzee,0,norms_associative
60a48adfe091e410f4eaba34,raccoon,1,norms_associative
60a48adfe091e410f4eaba34,skunk,0,norms_associative
60a48adfe091e410f4eaba34,deer,0,norms_associative
60a48adfe091e410f4eaba34,cow,1,norms_associative
60a48adfe091e410f4eaba34,chicken,0,norms_associative
60a48adfe091e410f4eaba34,pig,0,norms_associative
60a48adfe091e410f4eaba34,lemur,1,norms_associative
60d731567049e5132e3cc4d4,dog,2,norms_associative
60d731567049e5132e3cc4d4,cat,0,norms_associative
60d731567049e5132e3cc4d4,turtle,1,norms_associative
60d731567049e5132e3cc4d4,panda,1,norms_associative
60d731567049e5132e3cc4d4,iguana,1,norms_associative
60d731567049e5132e3cc4d4,lion,1,norms_associative
60d731567049e5132e3cc4d4,tiger,0,norms_associative
60d731567049e5132e3cc4d4,cheetah,0,norms_associative
60d731567049e5132e3cc4d4,mountain lion,0,norms_associative
60d731567049e5132e3cc4d4,lynx,0,norms_associative
60d731567049e5132e3cc4d4,bobcat,0,norms_associative
60d731567049e5132e3cc4d4,goldfish,1,norms_associative
60d731567049e5132e3cc4d4,betta,0,norms_associative
60d731567049e5132e3cc4d4,fish,0,norms_associative
60d731567049e5132e3cc4d4,great white shark,0,norms_associative
60d731567049e5132e3cc4d4,hammerhead shark,0,norms_associative
60d731567049e5132e3cc4d4,octopus,0,norms_associative
60d731567049e5132e3cc4d4,barracuda,1,norms_associative
60d731567049e5132e3cc4d4,bass,0,norms_associative
60d731567049e5132e3cc4d4,pike,0,norms_associative
60d731567049e5132e3cc4d4,perch,0,norms_associative
60d731567049e5132e3cc4d4,salmon,0,norms_associative
60d731567049e5132e3cc4d4,trout,0,norms_associative
60d731567049e5132e3cc4d4,cow,1,norms_associative
60d731567049e5132e3cc4d4,pig,0,norms_associative
60d731567049e5132e3cc4d4,sheep,0,norms_associative
60d731567049e5132e3cc4d4,horse,0,norms_associative
60d731567049e5132e3cc4d4,chicken,0,norms_associative
60d731567049e5132e3cc4d4,rooster,0,norms_associative
60d731567049e5132e3cc4d4,turkey,0,norms_associative
60d731567049e5132e3cc4d4,goat,0,norms_associative
60d731567049e5132e3cc4d4,donkey,0,norms_associative
60d731567049e5132e3cc4d4,horse,0,norms_associative
60d731567049e5132e3cc4d4,polar bear,1,norms_associative
60d731567049e5132e3cc4d4,grizzly bear,1,norms_associative
60d731567049e5132e3cc4d4,black bear,0,norms_associative
60d731567049e5132e3cc4d4,llama,1,norms_associative
60d731567049e5132e3cc4d4,alpaca,0,norms_associative
60d731567049e5132e3cc4d4,python,1,norms_associative
60d731567049e5132e3cc4d4,boa,1,norms_associative
60d731567049e5132e3cc4d4,constrictor,1,norms_associative
60d731567049e5132e3cc4d4,wolf,1,norms_associative
60d731567049e5132e3cc4d4,coyote,0,norms_associative
60d731567049e5132e3cc4d4,fox,0,norms_associative
60d731567049e5132e3cc4d4,owl,1,norms_associative
60d731567049e5132e3cc4d4,pelican,0,norms_associative
60d731567049e5132e3cc4d4,flamingo,0,norms_associative
60d731567049e5132e3cc4d4,sparrow,0,norms_associative
60d731567049e5132e3cc4d4,wren,0,norms_associative
60d731567049e5132e3cc4d4,mosquito,1,norms_associative
60d731567049e5132e3cc4d4,butterfly,0,norms_associative
60d731567049e5132e3cc4d4,moth,0,norms_associative
60d731567049e5132e3cc4d4,giraffe,1,norms_associative
60d731567049e5132e3cc4d4,zebra,0,norms_associative
60d731567049e5132e3cc4d4,rhinoceros,0,norms_associative
63e802622f8052bd67d6c5f0,cat,2,norms_associative
63e802622f8052bd67d6c5f0,dog,0,norms_associative
63e802622f8052bd67d6c5f0,giraffe,1,norms_associative
63e802622f8052bd67d6c5f0,zebra,0,norms_associative
63e802622f8052bd67d6c5f0,monkey,0,norms_associative
63e802622f8052bd67d6c5f0,fish,1,norms_associative
63e802622f8052bd67d6c5f0,lizard,1,norms_associative
63e802622f8052bd67d6c5f0,snake,0,norms_associative
63e802622f8052bd67d6c5f0,crocodile,0,norms_associative
63e802622f8052bd67d6c5f0,bird,1,norms_associative
63e802622f8052bd67d6c5f0,bug,1,norms_associative
63e802622f8052bd67d6c5f0,hippo,1,norms_associative
63e802622f8052bd67d6c5f0,walrus,1,norms_associative
63e802622f8052bd67d6c5f0,seal,0,norms_associative
63e802622f8052bd67d6c5f0,polar bear,0,norms_associative
63e802622f8052bd67d6c5f0,lion,1,norms_associative
63e802622f8052bd67d6c5f0,cheetah,0,norms_associative
63e802622f8052bd67d6c5f0,bobcat,0,norms_associative
63e802622f8052bd67d6c5f0,porcupine,1,norms_associative
63e802622f8052bd67d6c5f0,deer,1,norms_associative
63e802622f8052bd67d6c5f0,weasel,1,norms_associative
63e802622f8052bd67d6c5f0,chipmunk,1,norms_associative
63e802622f8052bd67d6c5f0,squirrel,0,norms_associative
63e802622f8052bd67d6c5f0,turtle,1,norms_associative
63e802622f8052bd67d6c5f0,duck,1,norms_associative
63e802622f8052bd67d6c5f0,swan,0,norms_associative
63e802622f8052bd67d6c5f0,gorilla,1,norms_associative
63e802622f8052bd67d6c5f0,frog,1,norms_associative
63e802622f8052bd67d6c5f0,alligator,0,norms_associative
63ea4ab1ce4168cbe9f63775,dog,2,norms_associative
63ea4ab1ce4168cbe9f63775,cat,0,norms_associative
63ea4ab1ce4168cbe9f63775,horse,1,norms_associative
63ea4ab1ce4168cbe9f63775,pig,0,norms_associative
63ea4ab1ce4168cbe9f63775,cow,0,norms_associative
63ea4ab1ce4168cbe9f63775,chicken,0,norms_associative
63ea4ab1ce4168cbe9f63775,parrot,0,norms_associative
63ea4ab1ce4168cbe9f63775,donkey,1,norms_associative
63ea4ab1ce4168cbe9f63775,mule,0,norms_associative
63ea4ab1ce4168cbe9f63775,coyote,1,norms_associative
63ea4ab1ce4168cbe9f63775,ox,1,norms_associative
63ea4ab1ce4168cbe9f63775,wolf,1,norms_associative
63ea4ab1ce4168cbe9f63775,bear,0,norms_associative
63ea4ab1ce4168cbe9f63775,grizzly bear,0,norms_associative
63ea4ab1ce4168cbe9f63775,ostrich,1,norms_associative
63ea4ab1ce4168cbe9f63775,bison,1,norms_associative
63ea4ab1ce4168cbe9f63775,water buffalo,0,norms_associative
63ea4ab1ce4168cbe9f63775,mink,1,norms_associative
63ea4ab1ce4168cbe9f63775,fisher,0,norms_associative
63ea4ab1ce4168cbe9f63775,otter,0,norms_associative
63ea4ab1ce4168cbe9f63775,groundhog,0,norms_associative
63ea4ab1ce4168cbe9f63775,raccoon,1,norms_associative
63ea4ab1ce4168cbe9f63775,deer,0,norms_associative
63ea4ab1ce4168cbe9f63775,elk,0,norms_associative
63ea4ab1ce4168cbe9f63775,moose,0,norms_associative
63ea4ab1ce4168cbe9f63775,lion,1,norms_associative
63ea4ab1ce4168cbe9f63775,zebra,0,norms_associative
63ea4ab1ce4168cbe9f63775,hyena,0,norms_associative
63ea4ab1ce4168cbe9f63775,meerkat,0,norms_associative
63ea4ab1ce4168cbe9f63775,toucan,1,norms_associative
63ea4ab1ce4168cbe9f63775,tiger,1,norms_associative
63ea4ab1ce4168cbe9f63775,panther,0,norms_associative
63ea4ab1ce4168cbe9f63775,orangutan,1,norms_associative
63ea4ab1ce4168cbe9f63775,monkey,0,norms_associative
63ea4ab1ce4168cbe9f63775,chimpanzee,0,norms_associative
63ea4ab1ce4168cbe9f63775,gorilla,0,norms_associative
63ea4ab1ce4168cbe9f63775,sea lion,1,norms_associative
63ea4ab1ce4168cbe9f63775,polar bear,1,norms_associative
63ea4ab1ce4168cbe9f63775,seagull,1,norms_associative
63ea4ab1ce4168cbe9f63775,walrus,1,norms_associative
63ea4ab1ce4168cbe9f63775,penguin,0,norms_associative
65b15afd94153c1f50c92493,dog,2,norms_associative
65b15afd94153c1f50c92493,cat,0,norms_associative
65b15afd94153c1f50c92493,horse,1,norms_associative
65b15afd94153c1f50c92493,fish,1,norms_associative
65b15afd94153c1f50c92493,spider,1,norms_associative
65b15afd94153c1f50c92493,bee,1,norms_associative
65b15afd94153c1f50c92493,crab,1,norms_associative
65b15afd94153c1f50c92493,wolf,1,norms_associative
65b15afd94153c1f50c92493,bird,1,norms_associative
65b15afd94153c1f50c92493,octopus,1,norms_associative
65b15afd94153c1f50c92493,lizard,1,norms_associative
65b15afd94153c1f50c92493,frog,0,norms_associative
65b15afd94153c1f50c92493,pig,1,norms_associative
65b15afd94153c1f50c92493,chimp,1,norms_associative
65b15afd94153c1f50c92493,raccoon,1,norms_associative
65b15afd94153c1f50c92493,ormer,1,norms_associative
65b15afd94153c1f50c92493,ox,1,norms_associative
65b15afd94153c1f50c92493,goat,1,norms_associative
65b15afd94153c1f50c92493,kangaroo,1,norms_associative
65b15afd94153c1f50c92493,sheep,1,norms_associative
65b15afd94153c1f50c92493,elephant,1,norms_associative
65b15afd94153c1f50c92493,monkey,0,norms_associative
65b15afd94153c1f50c92493,deer,1,norms_associative
65b15afd94153c1f50c92493,hedgehog,1,norms_associative
65b15afd94153c1f50c92493,squirrel,0,norms_associative
65b15afd94153c1f50c92493,koala,1,norms_associative
65b15afd94153c1f50c92493,cow,1,norms_associative
65b15afd94153c1f50c92493,raccoon,1,norms_associative
65b15afd94153c1f50c92493,camel,1,norms_associative
65b15afd94153c1f50c92493,kangaroo,1,norms_associative
65b15afd94153c1f50c92493,cheetah,1,norms_associative
65b15afd94153c1f50c92493,rabbit,1,norms_associative
65b15afd94153c1f50c92493,bunny,0,norms_associative
65b15afd94153c1f50c92493,fox,1,norms_associative
65b15afd94153c1f50c92493,dolphin,1,norms_associative
65b15afd94153c1f50c92493,starfish,0,norms_associative
65b15afd94153c1f50c92493,clam,0,norms_associative
65b15afd94153c1f50c92493,ladybug,1,norms_associative
65b15afd94153c1f50c92493,scorpion,0,norms_associative
65b15afd94153c1f50c92493,scorpion,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,dog,2,norms_associative
65c25cf77dca9d7ca7d9ebdb,cat,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,bird,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,lizard,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,capybara,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,gorilla,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,chimpanzee,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,orangutan,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,frog,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,person,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,salmon,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,carp,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,catfish,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,grizzly bear,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,polar bear,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,black bear,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,brown bear,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,kangaroo,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,rat,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,owl,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,python,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,cobra,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,cottonmouth,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,groundhog,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,dragon,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,beaver,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,mountain lion,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,snow leopard,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,jaguar,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,cheetah,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,lions,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,hyenas,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,elephant,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,zebra,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,horse,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,giraffe,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,penguin,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,seal,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,lionfish,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,orca,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,dolphin,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,jellyfish,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,squid,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,octopus,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,tasmanian devil,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,badger,1,norms_associative
65c25cf77dca9d7ca7d9ebdb,raccoon,0,norms_associative
65c25cf77dca9d7ca7d9ebdb,armadillo,1,norms_associative
65cb63e160bb47fbf9349269,dogs,2,norms_associative
65cb63e160bb47fbf9349269,cat,0,norms_associative
65cb63e160bb47fbf9349269,rabbit,0,norms_associative
65cb63e160bb47fbf9349269,turtle,1,norms_associative
65cb63e160bb47fbf9349269,squirrel,1,norms_associative
65cb63e160bb47fbf9349269,tortoise,1,norms_associative
65cb63e160bb47fbf9349269,rat,1,norms_associative
65cb63e160bb47fbf9349269,opossum,1,norms_associative
65cb63e160bb47fbf9349269,bird,1,norms_associative
65cb63e160bb47fbf9349269,chipmunk,1,norms_associative
65cb63e160bb47fbf9349269,pigeon,1,norms_associative
65cb63e160bb47fbf9349269,bald eagle,0,norms_associative
65cb63e160bb47fbf9349269,bobcat,0,norms_associative
65cb63e160bb47fbf9349269,lions,0,norms_associative
65cb63e160bb47fbf9349269,tiger,0,norms_associative
65cb63e160bb47fbf9349269,elephant,0,norms_associative
65cb63e160bb47fbf9349269,giraffe,0,norms_associative
65cb63e160bb47fbf9349269,brachiosaurus,1,norms_associative
65cb63e160bb47fbf9349269,snake,0,norms_associative
65cb63e160bb47fbf9349269,buffalo,1,norms_associative
65cb63e160bb47fbf9349269,cows,0,norms_associative
65cb63e160bb47fbf9349269,chicken,0,norms_associative
65cb63e160bb47fbf9349269,deer,1,norms_associative
65cb63e160bb47fbf9349269,pig,1,norms_associative
65cb63e160bb47fbf9349269,horse,0,norms_associative
65cb63e160bb47fbf9349269,kangaroo,1,norms_associative
65cb63e160bb47fbf9349269,koala,0,norms_associative
65cb63e160bb47fbf9349269,moose,1,norms_associative
65cb63e160bb47fbf9349269,penguin,1,norms_associative
65cb63e160bb47fbf9349269,polar bear,0,norms_associative
65cb63e160bb47fbf9349269,black bear,1,norms_associative
65cb63e160bb47fbf9349269,brown bear,0,norms_associative
65cb63e160bb47fbf9349269,orangutan,1,norms_associative
65cb63e160bb47fbf9349269,monkeys,0,norms_associative
65cb63e160bb47fbf9349269,fish,1,norms_associative
65cb63e160bb47fbf9349269,whale,0,norms_associative
65cb63e160bb47fbf9349269,crab,0,norms_associative
65cb63e160bb47fbf9349269,seahorse,0,norms_associative
65cb63e160bb47fbf9349269,dolphin,0,norms_associative
65cb63e160bb47fbf9349269,manta ray,0,norms_associative
65cb63e160bb47fbf9349269,jellyfish,0,norms_associative
65cc19b4b3d48a22dfc6756d,rat,2,norms_associative
65cc19b4b3d48a22dfc6756d,hog,1,norms_associative
65cc19b4b3d48a22dfc6756d,parrot,1,norms_associative
65cc19b4b3d48a22dfc6756d,pig,1,norms_associative
65cc19b4b3d48a22dfc6756d,sow,0,norms_associative
65cc19b4b3d48a22dfc6756d,chicken,0,norms_associative
65cc19b4b3d48a22dfc6756d,duck,0,norms_associative
65cc19b4b3d48a22dfc6756d,chimpanzee,1,norms_associative
65cc19b4b3d48a22dfc6756d,monkey,0,norms_associative
65cc19b4b3d48a22dfc6756d,peacock,1,norms_associative
65cc19b4b3d48a22dfc6756d,flamingo,0,norms_associative
65cc19b4b3d48a22dfc6756d,dolphin,1,norms_associative
65cc19b4b3d48a22dfc6756d,shark,0,norms_associative
65cc19b4b3d48a22dfc6756d,fish,0,norms_associative
65cc19b4b3d48a22dfc6756d,giraffe,1,norms_associative
65cc19b4b3d48a22dfc6756d,elephant,0,norms_associative
65cc19b4b3d48a22dfc6756d,tiger,0,norms_associative
65cc19b4b3d48a22dfc6756d,lion,0,norms_associative
65cc19b4b3d48a22dfc6756d,penguin,1,norms_associative
65cc19b4b3d48a22dfc6756d,polar bear,0,norms_associative
65cc19b4b3d48a22dfc6756d,brown bear,1,norms_associative
65cc19b4b3d48a22dfc6756d,black bear,0,norms_associative
65cc19b4b3d48a22dfc6756d,panda,1,norms_associative
