SID,entry,timepoint,evaluation,replacement
65d54b3b524fcafb543d1b23,Christmas,0.0,REPLACE,christmas
65d54b3b524fcafb543d1b23,New Year's,0.0,REPLACE,new year's
65d54b3b524fcafb543d1b23,Ramadan,1.4,REPLACE,ramadan
65d54b3b524fcafb543d1b23,Easter,0.0,REPLACE,easter
65d54b3b524fcafb543d1b23,Resurrection Day,7.5,REPLACE,resurrection day
65d54b3b524fcafb543d1b23,Halloween,9.6,REPLACE,halloween
65d54b3b524fcafb543d1b23,Thanksgiving,0.0,REPLACE,thanksgiving
65d54b3b524fcafb543d1b23,Martin Luther King's day,7.1,REPLACE,martin luther king's day
65d54b3b524fcafb543d1b23,Labor Day,0.0,REPLACE,labor day
65d54b3b524fcafb543d1b23,Valentine's Day,9.4,REPLACE,valentine's day
65d54b3b524fcafb543d1b23,Saint Patrick's Day,2.90000000000001,REPLACE,saint patrick's day
65d54b3b524fcafb543d1b23,April Fool's Day,0.0,REPLACE,april fool's day
65d54b3b524fcafb543d1b23,Memorial Day,1.7,REPLACE,memorial day
65d54b3b524fcafb543d1b23,4th of July,8.8,REPLACE,4th of july
65d54b3b524fcafb543d1b23,anniversaries,8.0,FOUND,anniversaries
65d54b3b524fcafb543d1b23,Columbus Day,8.5,REPLACE,columbus day
65b15afd94153c1f50c92493,Valentine's Day,0.0,REPLACE,valentine's day
65b15afd94153c1f50c92493,Saint Patrick's Day,0.0,REPLACE,saint patrick's day
65b15afd94153c1f50c92493,Easter,1.2,REPLACE,easter
65b15afd94153c1f50c92493,Fourth of July,5.0,REPLACE,fourth of july
65b15afd94153c1f50c92493,Independence Day,2.0,REPLACE,independence day
65b15afd94153c1f50c92493,President's Day,0.0,REPLACE,president's day
65b15afd94153c1f50c92493,Christmas,2.5,REPLACE,christmas
65b15afd94153c1f50c92493,Halloween,1.5,REPLACE,halloween
65b15afd94153c1f50c92493,New Year's,1.7,REPLACE,new year's
65b15afd94153c1f50c92493,Saint Patrick's Day,2.3,REPLACE,saint patrick's day
65b15afd94153c1f50c92493,Hanukkah,1.8,REPLACE,hanukkah
65b15afd94153c1f50c92493,Labor Day,7.7,REPLACE,labor day
65b15afd94153c1f50c92493,Thanksgiving,29.3,REPLACE,thanksgiving
65b15afd94153c1f50c92493,spring break,11.7,FOUND,spring break
65b15afd94153c1f50c92493,Presidents Day,4.40000000000001,REPLACE,presidents day
65c25cf77dca9d7ca7d9ebdb,hanukkah,0.0,FOUND,hanukkah
65c25cf77dca9d7ca7d9ebdb,Christmas,0.0,REPLACE,christmas
65c25cf77dca9d7ca7d9ebdb,Valentine's Day,0.0,REPLACE,valentine's day
65c25cf77dca9d7ca7d9ebdb,Easter,0.0,REPLACE,easter
65c25cf77dca9d7ca7d9ebdb,Halloween,0.0,REPLACE,halloween
65c25cf77dca9d7ca7d9ebdb,Veterans Day,6.9,REPLACE,veterans day
65c25cf77dca9d7ca7d9ebdb,women's day,3.1,FOUND,women's day
65c25cf77dca9d7ca7d9ebdb,Mother's Day,0.0,REPLACE,mother's day
65c25cf77dca9d7ca7d9ebdb,Father's day,0.0,REPLACE,father's day
65c25cf77dca9d7ca7d9ebdb,Chinese New Year,22.6,REPLACE,chinese new year
