SID,entry,timepoint
65d54b3b524fcafb543d1b23,christmas,0.0
65d54b3b524fcafb543d1b23,new year's,0.0
65d54b3b524fcafb543d1b23,ramadan,1.4
65d54b3b524fcafb543d1b23,easter,0.0
65d54b3b524fcafb543d1b23,resurrection day,7.5
65d54b3b524fcafb543d1b23,halloween,9.6
65d54b3b524fcafb543d1b23,thanksgiving,0.0
65d54b3b524fcafb543d1b23,martin luther king's day,7.1
65d54b3b524fcafb543d1b23,labor day,0.0
65d54b3b524fcafb543d1b23,valentine's day,9.4
65d54b3b524fcafb543d1b23,saint patrick's day,2.90000000000001
65d54b3b524fcafb543d1b23,april fool's day,0.0
65d54b3b524fcafb543d1b23,memorial day,1.7
65d54b3b524fcafb543d1b23,4th of july,8.8
65d54b3b524fcafb543d1b23,anniversaries,8.0
65d54b3b524fcafb543d1b23,columbus day,8.5
65b15afd94153c1f50c92493,valentine's day,0.0
65b15afd94153c1f50c92493,saint patrick's day,0.0
65b15afd94153c1f50c92493,easter,1.2
65b15afd94153c1f50c92493,fourth of july,5.0
65b15afd94153c1f50c92493,independence day,2.0
65b15afd94153c1f50c92493,president's day,0.0
65b15afd94153c1f50c92493,christmas,2.5
65b15afd94153c1f50c92493,halloween,1.5
65b15afd94153c1f50c92493,new year's,1.7
65b15afd94153c1f50c92493,saint patrick's day,2.3
65b15afd94153c1f50c92493,hanukkah,1.8
65b15afd94153c1f50c92493,labor day,7.7
65b15afd94153c1f50c92493,thanksgiving,29.3
65b15afd94153c1f50c92493,spring break,11.7
65b15afd94153c1f50c92493,presidents day,4.40000000000001
65c25cf77dca9d7ca7d9ebdb,hanukkah,0.0
65c25cf77dca9d7ca7d9ebdb,christmas,0.0
65c25cf77dca9d7ca7d9ebdb,valentine's day,0.0
65c25cf77dca9d7ca7d9ebdb,easter,0.0
65c25cf77dca9d7ca7d9ebdb,halloween,0.0
65c25cf77dca9d7ca7d9ebdb,veterans day,6.9
65c25cf77dca9d7ca7d9ebdb,women's day,3.1
65c25cf77dca9d7ca7d9ebdb,mother's day,0.0
65c25cf77dca9d7ca7d9ebdb,father's day,0.0
65c25cf77dca9d7ca7d9ebdb,chinese new year,22.6
65c25cf77dca9d7ca7d9ebdb,new year,0.0
65c25cf77dca9d7ca7d9ebdb,new year's eve,0.0
65c25cf77dca9d7ca7d9ebdb,christmas eve,1.2
65c25cf77dca9d7ca7d9ebdb,thanksgiving,1.5
65c25cf77dca9d7ca7d9ebdb,spring break,3.4
