SID,entry,timepoint,evaluation,replacement
65d6a09286a0c99e632a46dd,water,0.0,FOUND,water
65d6a09286a0c99e632a46dd,soda,1.2,FOUND,soda
65d6a09286a0c99e632a46dd,Gatorade,1.8,REPLACE,gatorade
65d6a09286a0c99e632a46dd,tea,1.1,FOUND,tea
65d6a09286a0c99e632a46dd,windshield wiper fluid,3.4,FOUND,windshield wiper fluid
65d6a09286a0c99e632a46dd,saliva,10.1,FOUND,saliva
65d6a09286a0c99e632a46dd,car oil,7.0,FOUND,car oil
65d6a09286a0c99e632a46dd,blood,8.4,FOUND,blood
65d6a09286a0c99e632a46dd,Sweat,1.2,REPLACE,sweat
65d6a09286a0c99e632a46dd,tears,0.0,FOUND,tears
65d6a09286a0c99e632a46dd,alcohol,8.9,FOUND,alcohol
65d6a09286a0c99e632a46dd,Mercury,4.5,REPLACE,mercury
65d6a09286a0c99e632a46dd,hot glue,28.1,FOUND,hot glue
65d6a09286a0c99e632a46dd,water,13.9,FOUND,water
65d6a09286a0c99e632a46dd,beer,5.0,FOUND,beer
65c25cf77dca9d7ca7d9ebdb,water,0.0,FOUND,water
65c25cf77dca9d7ca7d9ebdb,Mercury,0.0,REPLACE,mercury
65c25cf77dca9d7ca7d9ebdb,bleach,2.7,FOUND,bleach
65c25cf77dca9d7ca7d9ebdb,Gatorade,1.4,REPLACE,gatorade
65c25cf77dca9d7ca7d9ebdb,Powerade,0.0,REPLACE,powerade
65c25cf77dca9d7ca7d9ebdb,tea,0.4,FOUND,tea
65c25cf77dca9d7ca7d9ebdb,coffee,0.5,FOUND,coffee
65c25cf77dca9d7ca7d9ebdb,milk,1.9,FOUND,milk
65c25cf77dca9d7ca7d9ebdb,juice,2.9,FOUND,juice
65c25cf77dca9d7ca7d9ebdb,window cleaner,5.2,FOUND,window cleaner
65c25cf77dca9d7ca7d9ebdb,oil,7.0,FOUND,oil
65c25cf77dca9d7ca7d9ebdb,avocado oil,8.3,FOUND,avocado oil
65c25cf77dca9d7ca7d9ebdb,olive oil,1.4,FOUND,olive oil
65c25cf77dca9d7ca7d9ebdb,canola oil,0.100000000000001,FOUND,canola oil
65c25cf77dca9d7ca7d9ebdb,liquid nitrogen,9.8,FOUND,liquid nitrogen
65c25cf77dca9d7ca7d9ebdb,soup,15.9,FOUND,soup
65c25cf77dca9d7ca7d9ebdb,laundry detergent,12.6,FOUND,laundry detergent
65c25cf77dca9d7ca7d9ebdb,softener,3.3,FOUND,softener
65c25cf77dca9d7ca7d9ebdb,soda,6.2,FOUND,soda
65c25cf77dca9d7ca7d9ebdb,beer,2.3,FOUND,beer
65c25cf77dca9d7ca7d9ebdb,wine,1.40000000000001,FOUND,wine
65c25cf77dca9d7ca7d9ebdb,vodka,2.40000000000001,FOUND,vodka
65c25cf77dca9d7ca7d9ebdb,whiskey,0.0999999999999943,FOUND,whiskey
65c25cf77dca9d7ca7d9ebdb,bourbon,1.3,FOUND,bourbon
65cc19b4b3d48a22dfc6756d,water,0.0,FOUND,water
65cc19b4b3d48a22dfc6756d,coffee,0.0,FOUND,coffee
65cc19b4b3d48a22dfc6756d,juice,0.0,FOUND,juice
65cc19b4b3d48a22dfc6756d,tea,1.0,FOUND,tea
65cc19b4b3d48a22dfc6756d,soap,10.0,FOUND,soap
65cc19b4b3d48a22dfc6756d,hot sauce,4.7,FOUND,hot sauce
65cc19b4b3d48a22dfc6756d,soy sauce,0.0,FOUND,soy sauce
65cc19b4b3d48a22dfc6756d,vinegar,0.0,FOUND,vinegar
65cc19b4b3d48a22dfc6756d,oil,2.0,FOUND,oil
65cc19b4b3d48a22dfc6756d,ranch,8.8,FOUND,ranch
