SID,entry,timepoint
65d6a09286a0c99e632a46dd,water,0.0
65d6a09286a0c99e632a46dd,soda,1.2
65d6a09286a0c99e632a46dd,gatorade,1.8
65d6a09286a0c99e632a46dd,tea,1.1
65d6a09286a0c99e632a46dd,windshield wiper fluid,3.4
65d6a09286a0c99e632a46dd,saliva,10.1
65d6a09286a0c99e632a46dd,car oil,7.0
65d6a09286a0c99e632a46dd,blood,8.4
65d6a09286a0c99e632a46dd,sweat,1.2
65d6a09286a0c99e632a46dd,tears,0.0
65d6a09286a0c99e632a46dd,alcohol,8.9
65d6a09286a0c99e632a46dd,mercury,4.5
65d6a09286a0c99e632a46dd,hot glue,28.1
65d6a09286a0c99e632a46dd,water,13.9
65d6a09286a0c99e632a46dd,beer,5.0
65c25cf77dca9d7ca7d9ebdb,water,0.0
65c25cf77dca9d7ca7d9ebdb,mercury,0.0
65c25cf77dca9d7ca7d9ebdb,bleach,2.7
65c25cf77dca9d7ca7d9ebdb,gatorade,1.4
65c25cf77dca9d7ca7d9ebdb,powerade,0.0
65c25cf77dca9d7ca7d9ebdb,tea,0.4
65c25cf77dca9d7ca7d9ebdb,coffee,0.5
65c25cf77dca9d7ca7d9ebdb,milk,1.9
65c25cf77dca9d7ca7d9ebdb,juice,2.9
65c25cf77dca9d7ca7d9ebdb,window cleaner,5.2
65c25cf77dca9d7ca7d9ebdb,oil,7.0
65c25cf77dca9d7ca7d9ebdb,avocado oil,8.3
65c25cf77dca9d7ca7d9ebdb,olive oil,1.4
65c25cf77dca9d7ca7d9ebdb,canola oil,0.100000000000001
65c25cf77dca9d7ca7d9ebdb,liquid nitrogen,9.8
65c25cf77dca9d7ca7d9ebdb,soup,15.9
65c25cf77dca9d7ca7d9ebdb,laundry detergent,12.6
65c25cf77dca9d7ca7d9ebdb,softener,3.3
65c25cf77dca9d7ca7d9ebdb,soda,6.2
65c25cf77dca9d7ca7d9ebdb,beer,2.3
65c25cf77dca9d7ca7d9ebdb,wine,1.40000000000001
65c25cf77dca9d7ca7d9ebdb,vodka,2.40000000000001
65c25cf77dca9d7ca7d9ebdb,whiskey,0.0999999999999943
65c25cf77dca9d7ca7d9ebdb,bourbon,1.3
65cc19b4b3d48a22dfc6756d,water,0.0
65cc19b4b3d48a22dfc6756d,coffee,0.0
65cc19b4b3d48a22dfc6756d,juice,0.0
65cc19b4b3d48a22dfc6756d,tea,1.0
65cc19b4b3d48a22dfc6756d,soap,10.0
65cc19b4b3d48a22dfc6756d,hot sauce,4.7
65cc19b4b3d48a22dfc6756d,soy sauce,0.0
65cc19b4b3d48a22dfc6756d,vinegar,0.0
65cc19b4b3d48a22dfc6756d,oil,2.0
65cc19b4b3d48a22dfc6756d,ranch,8.8
65cc19b4b3d48a22dfc6756d,hydrochloric acid,21.1
65cc19b4b3d48a22dfc6756d,mouth wash,7.6
65cc19b4b3d48a22dfc6756d,skincare toner,12.3
65cc19b4b3d48a22dfc6756d,liquid tylenol,10.6
65cc19b4b3d48a22dfc6756d,vodka,12.7
65cc19b4b3d48a22dfc6756d,whiskey,0.0
65cc19b4b3d48a22dfc6756d,gin,2.2
65cc19b4b3d48a22dfc6756d,wine,0.900000000000006
65cb63e160bb47fbf9349269,water,0.0
65cb63e160bb47fbf9349269,soup,0.0
65cb63e160bb47fbf9349269,sodas,0.0
65cb63e160bb47fbf9349269,juice,8.3
65cb63e160bb47fbf9349269,wine,0.0
65cb63e160bb47fbf9349269,beer,0.0
65cb63e160bb47fbf9349269,liquor,0.0
65cb63e160bb47fbf9349269,hydrogen peroxide,5.5
65cb63e160bb47fbf9349269,milk,12.1
65cb63e160bb47fbf9349269,soup stock,8.0
65cb63e160bb47fbf9349269,urine,11.0
65cb63e160bb47fbf9349269,blood,1.2
65cb63e160bb47fbf9349269,tears,3.3
65cb63e160bb47fbf9349269,sweat,4.0
65cb63e160bb47fbf9349269,salsa's,30.9
65cb63e160bb47fbf9349269,honey,9.2
60a48adfe091e410f4eaba34,water,0.0
60a48adfe091e410f4eaba34,cola,3.5
60a48adfe091e410f4eaba34,alcohol,1.1
60a48adfe091e410f4eaba34,detergent,3.3
60a48adfe091e410f4eaba34,cheese,1.7
60a48adfe091e410f4eaba34,milk,3.0
60a48adfe091e410f4eaba34,orange juice,5.1
60a48adfe091e410f4eaba34,apple juice,0.0
60a48adfe091e410f4eaba34,vodka,2.8
60a48adfe091e410f4eaba34,rum,10.9
60a48adfe091e410f4eaba34,whisky,0.0
60a48adfe091e410f4eaba34,bleach,16.7
60a48adfe091e410f4eaba34,tea,15.5
60a48adfe091e410f4eaba34,coffee,0.0
60a48adfe091e410f4eaba34,seltzer,14.5
60a48adfe091e410f4eaba34,mixed drink,21.9
60d731567049e5132e3cc4d4,water,0.0
60d731567049e5132e3cc4d4,gasoline,0.0
60d731567049e5132e3cc4d4,beer,1.3
60d731567049e5132e3cc4d4,wine,0.0
60d731567049e5132e3cc4d4,tequila,0.0
60d731567049e5132e3cc4d4,rum,0.0
60d731567049e5132e3cc4d4,vodka,0.0
60d731567049e5132e3cc4d4,fruit punch,4.3
60d731567049e5132e3cc4d4,milk,1.2
60d731567049e5132e3cc4d4,juice,2.5
60d731567049e5132e3cc4d4,mercury,4.9
60d731567049e5132e3cc4d4,mud,6.0
60d731567049e5132e3cc4d4,rubbing alcohol,4.6
60d731567049e5132e3cc4d4,nail polish remover,0.0
60d731567049e5132e3cc4d4,windex,0.0
60d731567049e5132e3cc4d4,clorox,1.0
60d731567049e5132e3cc4d4,bleach,0.0
60d731567049e5132e3cc4d4,laundry detergent,0.0
60d731567049e5132e3cc4d4,vanilla extract,7.6
60d731567049e5132e3cc4d4,lemon juice,0.0
60d731567049e5132e3cc4d4,chlorine,7.69999999999999
60d731567049e5132e3cc4d4,soda,16.4
60d731567049e5132e3cc4d4,tea,3.40000000000001
60d731567049e5132e3cc4d4,coffee,0.0
60d731567049e5132e3cc4d4,creamer,1.7
60d731567049e5132e3cc4d4,smoothies,3.0
60d731567049e5132e3cc4d4,lava,3.89999999999999
60d731567049e5132e3cc4d4,kombucha,6.5
60d731567049e5132e3cc4d4,seltzer,3.39999999999999
63e802622f8052bd67d6c5f0,water,0.0
63e802622f8052bd67d6c5f0,milk,1.8
63e802622f8052bd67d6c5f0,juice,0.0
63e802622f8052bd67d6c5f0,beer,3.2
63e802622f8052bd67d6c5f0,liquor,2.8
63e802622f8052bd67d6c5f0,liquid itrogen,17.3
63e802622f8052bd67d6c5f0,tea,29.9
63e802622f8052bd67d6c5f0,energy drinks,2.3
63e802622f8052bd67d6c5f0,soda,0.0
65e1f75ab3efd22e847cfbf0,soda,0.0
65e1f75ab3efd22e847cfbf0,tea,0.0
65e1f75ab3efd22e847cfbf0,juice,0.0
65e1f75ab3efd22e847cfbf0,water,0.0
65e1f75ab3efd22e847cfbf0,coca-cola,1.2
65e1f75ab3efd22e847cfbf0,pepsi,0.0
65e1f75ab3efd22e847cfbf0,fanta,0.0
65e1f75ab3efd22e847cfbf0,sprite,0.0
65e1f75ab3efd22e847cfbf0,coke pibb,0.0
65e1f75ab3efd22e847cfbf0,orange juice,1.2
65e1f75ab3efd22e847cfbf0,apple juice,0.0
65e1f75ab3efd22e847cfbf0,cranberry juice,0.0
65e1f75ab3efd22e847cfbf0,welch's juice,0.0
