SID,entry,timepoint,evaluation,replacement
65e862f844f1b7a803bb3c5a,bus,0.0,FOUND,bus
65e862f844f1b7a803bb3c5a,car,2.7,FOUND,car
65e862f844f1b7a803bb3c5a,bicycle,2.7,FOUND,bicycle
65e862f844f1b7a803bb3c5a,coach,2.9,FOUND,coach
65e862f844f1b7a803bb3c5a,camel,1.4,FOUND,camel
65e862f844f1b7a803bb3c5a,horse,1.6,FOUND,horse
65e862f844f1b7a803bb3c5a,cable car,1.0,FOUND,cable car
65e862f844f1b7a803bb3c5a,skateboard,1.4,FOUND,skateboard
65e862f844f1b7a803bb3c5a,aeroplane,1.1,FOUND,aeroplane
65e862f844f1b7a803bb3c5a,narrow boats,1.3,FOUND,narrow boats
65e862f844f1b7a803bb3c5a,yacht,3.3,FOUND,yacht
65e862f844f1b7a803bb3c5a,ferry,1.5,FOUND,ferry
65e862f844f1b7a803bb3c5a,Cruise shiop,1.7,REPLACE,cruise shiop
65e862f844f1b7a803bb3c5a,taxi,1.2,FOUND,taxi
65e862f844f1b7a803bb3c5a,train,32.4,FOUND,train
65e862f844f1b7a803bb3c5a,air boats,2.0,FOUND,air boats
65e862f844f1b7a803bb3c5a,helicopter,2.0,FOUND,helicopter
65e862f844f1b7a803bb3c5a,submarine,2.3,FOUND,submarine
65e862f844f1b7a803bb3c5a,truck,2.2,FOUND,truck
65e862f844f1b7a803bb3c5a,lorry,1.7,FOUND,lorry
65e862f844f1b7a803bb3c5a,donkey,2.7,FOUND,donkey
65e862f844f1b7a803bb3c5a,kennel,3.39999999999999,FOUND,kennel
5d7ff4aa50fda7001a863736,car,0.0,FOUND,car
5d7ff4aa50fda7001a863736,Bus,0.3,REPLACE,bus
5d7ff4aa50fda7001a863736,Taxi,0.4,REPLACE,taxi
5d7ff4aa50fda7001a863736,limo,1.2,FOUND,limo
5d7ff4aa50fda7001a863736,airplane,1.6,FOUND,airplane
5d7ff4aa50fda7001a863736,helicopter,1.0,FOUND,helicopter
5d7ff4aa50fda7001a863736,bicycle,1.3,FOUND,bicycle
5d7ff4aa50fda7001a863736,oh,3.3,FOUND,oh
5d7ff4aa50fda7001a863736,ship,0.0,FOUND,ship
5d7ff4aa50fda7001a863736,boat,0.0,FOUND,boat
5d7ff4aa50fda7001a863736,scooter,1.1,FOUND,scooter
5d7ff4aa50fda7001a863736,train,2.0,FOUND,train
5d7ff4aa50fda7001a863736,motorcycle,10.9,FOUND,motorcycle
5d7ff4aa50fda7001a863736,golf cart,4.8,FOUND,golf cart
5d7ff4aa50fda7001a863736,School Bus,7.2,REPLACE,school bus
5d7ff4aa50fda7001a863736,ambulance,3.5,FOUND,ambulance
5d7ff4aa50fda7001a863736,police car,19.7,FOUND,police car
5d7ff4aa50fda7001a863736,horse,19.7,FOUND,horse
