SID,entry,timepoint,evaluation,replacement
65d6a09286a0c99e632a46dd,cancer,0.0,FOUND,cancer
65d6a09286a0c99e632a46dd,IBS,0.0,EXCLUDE,EXCLUDE
65d6a09286a0c99e632a46dd,autism,2.3,FOUND,autism
65d6a09286a0c99e632a46dd,blindness,6.9,FOUND,blindness
65d6a09286a0c99e632a46dd,deaf,0.0,FOUND,deaf
65d6a09286a0c99e632a46dd,anorexia,16.3,FOUND,anorexia
65d6a09286a0c99e632a46dd,ADHD,5.0,EXCLUDE,EXCLUDE
65d6a09286a0c99e632a46dd,ADD,0.0,EXCLUDE,EXCLUDE
65d6a09286a0c99e632a46dd,alcoholism,2.1,FOUND,alcoholism
65d6a09286a0c99e632a46dd,diabetes,32.1,FOUND,diabetes
65d6a09286a0c99e632a46dd,arthritis,7.40000000000001,FOUND,arthritis
65d6a09286a0c99e632a46dd,infertility,13.0,FOUND,infertility
65d6a09286a0c99e632a46dd,epilepsy,4.80000000000001,FOUND,epilepsy
65c25cf77dca9d7ca7d9ebdb,Asthma,0.0,REPLACE,asthma
65c25cf77dca9d7ca7d9ebdb,Arthritis,0.0,REPLACE,arthritis
65c25cf77dca9d7ca7d9ebdb,cancer,1.8,FOUND,cancer
65c25cf77dca9d7ca7d9ebdb,leukemia,0.0,FOUND,leukemia
65c25cf77dca9d7ca7d9ebdb,osteoporosis,2.1,FOUND,osteoporosis
65c25cf77dca9d7ca7d9ebdb,tachycardia,3.7,FOUND,tachycardia
65c25cf77dca9d7ca7d9ebdb,high blood pressure,1.1,FOUND,high blood pressure
65c25cf77dca9d7ca7d9ebdb,diabetes,2.3,FOUND,diabetes
65c25cf77dca9d7ca7d9ebdb,hernia,6.3,FOUND,hernia
65c25cf77dca9d7ca7d9ebdb,infertile,5.6,FOUND,infertile
65c25cf77dca9d7ca7d9ebdb,covid,7.8,FOUND,covid
65c25cf77dca9d7ca7d9ebdb,flu,1.0,FOUND,flu
65c25cf77dca9d7ca7d9ebdb,meningitis,3.7,FOUND,meningitis
65c25cf77dca9d7ca7d9ebdb,gonnorhea,1.0,FOUND,gonnorhea
65c25cf77dca9d7ca7d9ebdb,Chlamydia,0.0,REPLACE,chlamydia
65c25cf77dca9d7ca7d9ebdb,AIDS,1.7,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,HPV,1.9,EXCLUDE,EXCLUDE
65c25cf77dca9d7ca7d9ebdb,Hepatitis,0.5,REPLACE,hepatitis
65c25cf77dca9d7ca7d9ebdb,Heart Attack,6.8,REPLACE,heart attack
65c25cf77dca9d7ca7d9ebdb,Blood Clot,0.0,REPLACE,blood clot
65c25cf77dca9d7ca7d9ebdb,whooping cough,4.39999999999999,FOUND,whooping cough
65c25cf77dca9d7ca7d9ebdb,pneumonia,0.0,FOUND,pneumonia
65c25cf77dca9d7ca7d9ebdb,anxiety,3.39999999999999,FOUND,anxiety
65c25cf77dca9d7ca7d9ebdb,depression,0.0,FOUND,depression
65c25cf77dca9d7ca7d9ebdb,schizophrenia,1.39999999999999,FOUND,schizophrenia
65c25cf77dca9d7ca7d9ebdb,bipolar disorder,1.10000000000001,FOUND,bipolar disorder
65c25cf77dca9d7ca7d9ebdb,amnesia,4.10000000000001,FOUND,amnesia
65c25cf77dca9d7ca7d9ebdb,Alzheimers,0.0,REPLACE,alzheimers
65c25cf77dca9d7ca7d9ebdb,rabies,3.09999999999999,FOUND,rabies
65c25cf77dca9d7ca7d9ebdb,fatty liver,12.7,FOUND,fatty liver
65b15afd94153c1f50c92493,allergies,0.0,FOUND,allergies
65b15afd94153c1f50c92493,cancer,6.7,FOUND,cancer
65b15afd94153c1f50c92493,diabetes,1.4,FOUND,diabetes
65b15afd94153c1f50c92493,infertility,1.1,FOUND,infertility
65b15afd94153c1f50c92493,heart attack,4.1,FOUND,heart attack
65b15afd94153c1f50c92493,asthma,12.3,FOUND,asthma
65b15afd94153c1f50c92493,eczema,0.0,FOUND,eczema
65b15afd94153c1f50c92493,migraine,1.3,FOUND,migraine
65b15afd94153c1f50c92493,scoliosis,1.5,FOUND,scoliosis
65b15afd94153c1f50c92493,hearing loss,2.0,FOUND,hearing loss
65b15afd94153c1f50c92493,seizure,1.7,FOUND,seizure
65b15afd94153c1f50c92493,anemia,2.3,FOUND,anemia
65b15afd94153c1f50c92493,dehydration,15.5,FOUND,dehydration
65b15afd94153c1f50c92493,sunburn,1.39999999999999,FOUND,sunburn
65b15afd94153c1f50c92493,swelling,1.0,FOUND,swelling
65b15afd94153c1f50c92493,bleeding,1.10000000000001,FOUND,bleeding
65b15afd94153c1f50c92493,toothache,1.2,FOUND,toothache
65b15afd94153c1f50c92493,panic attack,0.0999999999999943,FOUND,panic attack
65b15afd94153c1f50c92493,constipation,1.59999999999999,FOUND,constipation
65b15afd94153c1f50c92493,stroke,2.09999999999999,FOUND,stroke
65b15afd94153c1f50c92493,disease,1.59999999999999,FOUND,disease
65b15afd94153c1f50c92493,Down syndrome,11.8,REPLACE,down syndrome
65b15afd94153c1f50c92493,hypertension,7.7,FOUND,hypertension
65b15afd94153c1f50c92493,acne,1.40000000000001,FOUND,acne
