SID,entry,timepoint
65d6a09286a0c99e632a46dd,cancer,0.0
65d6a09286a0c99e632a46dd,autism,2.3
65d6a09286a0c99e632a46dd,blindness,6.9
65d6a09286a0c99e632a46dd,deaf,0.0
65d6a09286a0c99e632a46dd,anorexia,16.3
65d6a09286a0c99e632a46dd,alcoholism,2.1
65d6a09286a0c99e632a46dd,diabetes,32.1
65d6a09286a0c99e632a46dd,arthritis,7.40000000000001
65d6a09286a0c99e632a46dd,infertility,13.0
65d6a09286a0c99e632a46dd,epilepsy,4.80000000000001
65c25cf77dca9d7ca7d9ebdb,asthma,0.0
65c25cf77dca9d7ca7d9ebdb,arthritis,0.0
65c25cf77dca9d7ca7d9ebdb,cancer,1.8
65c25cf77dca9d7ca7d9ebdb,leukemia,0.0
65c25cf77dca9d7ca7d9ebdb,osteoporosis,2.1
65c25cf77dca9d7ca7d9ebdb,tachycardia,3.7
65c25cf77dca9d7ca7d9ebdb,high blood pressure,1.1
65c25cf77dca9d7ca7d9ebdb,diabetes,2.3
65c25cf77dca9d7ca7d9ebdb,hernia,6.3
65c25cf77dca9d7ca7d9ebdb,infertile,5.6
65c25cf77dca9d7ca7d9ebdb,covid,7.8
65c25cf77dca9d7ca7d9ebdb,flu,1.0
65c25cf77dca9d7ca7d9ebdb,meningitis,3.7
65c25cf77dca9d7ca7d9ebdb,gonnorhea,1.0
65c25cf77dca9d7ca7d9ebdb,chlamydia,0.0
65c25cf77dca9d7ca7d9ebdb,hepatitis,0.5
65c25cf77dca9d7ca7d9ebdb,heart attack,6.8
65c25cf77dca9d7ca7d9ebdb,blood clot,0.0
65c25cf77dca9d7ca7d9ebdb,whooping cough,4.39999999999999
65c25cf77dca9d7ca7d9ebdb,pneumonia,0.0
65c25cf77dca9d7ca7d9ebdb,anxiety,3.39999999999999
65c25cf77dca9d7ca7d9ebdb,depression,0.0
65c25cf77dca9d7ca7d9ebdb,schizophrenia,1.39999999999999
65c25cf77dca9d7ca7d9ebdb,bipolar disorder,1.10000000000001
65c25cf77dca9d7ca7d9ebdb,amnesia,4.10000000000001
65c25cf77dca9d7ca7d9ebdb,alzheimers,0.0
65c25cf77dca9d7ca7d9ebdb,rabies,3.09999999999999
65c25cf77dca9d7ca7d9ebdb,fatty liver,12.7
65b15afd94153c1f50c92493,allergies,0.0
65b15afd94153c1f50c92493,cancer,6.7
65b15afd94153c1f50c92493,diabetes,1.4
65b15afd94153c1f50c92493,infertility,1.1
65b15afd94153c1f50c92493,heart attack,4.1
65b15afd94153c1f50c92493,asthma,12.3
65b15afd94153c1f50c92493,eczema,0.0
65b15afd94153c1f50c92493,migraine,1.3
65b15afd94153c1f50c92493,scoliosis,1.5
65b15afd94153c1f50c92493,hearing loss,2.0
65b15afd94153c1f50c92493,seizure,1.7
65b15afd94153c1f50c92493,anemia,2.3
65b15afd94153c1f50c92493,dehydration,15.5
65b15afd94153c1f50c92493,sunburn,1.39999999999999
65b15afd94153c1f50c92493,swelling,1.0
65b15afd94153c1f50c92493,bleeding,1.10000000000001
65b15afd94153c1f50c92493,toothache,1.2
65b15afd94153c1f50c92493,panic attack,0.0999999999999943
65b15afd94153c1f50c92493,constipation,1.59999999999999
65b15afd94153c1f50c92493,stroke,2.09999999999999
65b15afd94153c1f50c92493,disease,1.59999999999999
65b15afd94153c1f50c92493,down syndrome,11.8
65b15afd94153c1f50c92493,hypertension,7.7
