Subject,Fluency_Item,Switch_Value,Switch_Method
5d7ff4aa50fda7001a863736,diabetes,2,simdrop
5d7ff4aa50fda7001a863736,autism,0,simdrop
5d7ff4aa50fda7001a863736,tuberculosis,1,simdrop
5d7ff4aa50fda7001a863736,bronchitis,0,simdrop
5d7ff4aa50fda7001a863736,anemia,1,simdrop
5d7ff4aa50fda7001a863736,depression,0,simdrop
5d7ff4aa50fda7001a863736,lyme's disease,1,simdrop
5d7ff4aa50fda7001a863736,lupus,0,simdrop
5d7ff4aa50fda7001a863736,endometriosis,0,simdrop
5d7ff4aa50fda7001a863736,huntington's disease,1,simdrop
5d7ff4aa50fda7001a863736,cancer,0,simdrop
5d7ff4aa50fda7001a863736,breast cancer,0,simdrop
5d7ff4aa50fda7001a863736,lung cancer,0,simdrop
5d7ff4aa50fda7001a863736,down syndrome,1,simdrop
5d7ff4aa50fda7001a863736,arthritis,0,simdrop
5d7ff4aa50fda7001a863736,cystic acne,1,simdrop
5d7ff4aa50fda7001a863736,lymphoma,2,simdrop
5f5aa60bef062519ff711fe6,dementia,2,simdrop
5f5aa60bef062519ff711fe6,cervical cancer,0,simdrop
5f5aa60bef062519ff711fe6,rectal cancer,0,simdrop
5f5aa60bef062519ff711fe6,cancer,0,simdrop
5f5aa60bef062519ff711fe6,osteoporosis,1,simdrop
5f5aa60bef062519ff711fe6,rheumatoid,0,simdrop
5f5aa60bef062519ff711fe6,rheumatoid arthritis,0,simdrop
5f5aa60bef062519ff711fe6,plantars fasciitis,1,simdrop
5f5aa60bef062519ff711fe6,fasciitis,0,simdrop
5f5aa60bef062519ff711fe6,bipolar disorder,1,simdrop
5f5aa60bef062519ff711fe6,parkinson's,0,simdrop
5f5aa60bef062519ff711fe6,hodgkin's lymphoma,0,simdrop
5f5aa60bef062519ff711fe6,autism,0,simdrop
5f5aa60bef062519ff711fe6,sickle cell anemia,0,simdrop
5f5aa60bef062519ff711fe6,diarrhea,1,simdrop
5f5aa60bef062519ff711fe6,constipation,0,simdrop
5f5aa60bef062519ff711fe6,hemorrhaging,1,simdrop
5f5aa60bef062519ff711fe6,aneurysm,0,simdrop
5f5aa60bef062519ff711fe6,blood clotting,2,simdrop
60a48adfe091e410f4eaba34,asthma,2,simdrop
60a48adfe091e410f4eaba34,lymphedema,0,simdrop
60a48adfe091e410f4eaba34,diabetes,0,simdrop
60a48adfe091e410f4eaba34,alzheimer's,1,simdrop
60a48adfe091e410f4eaba34,parkinson's,0,simdrop
60a48adfe091e410f4eaba34,depression,1,simdrop
60a48adfe091e410f4eaba34,anxiety,0,simdrop
60a48adfe091e410f4eaba34,anemia,0,simdrop
60a48adfe091e410f4eaba34,high cholesterol,1,simdrop
60a48adfe091e410f4eaba34,high blood pressure,0,simdrop
60a48adfe091e410f4eaba34,obesity,1,simdrop
60a48adfe091e410f4eaba34,epilepsy,0,simdrop
60a48adfe091e410f4eaba34,kidney disease,1,simdrop
60a48adfe091e410f4eaba34,liver disease,0,simdrop
60a48adfe091e410f4eaba34,cancer,1,simdrop
60a48adfe091e410f4eaba34,gonorrhea,0,simdrop
60a48adfe091e410f4eaba34,herpes,0,simdrop
60a48adfe091e410f4eaba34,meningitis,2,simdrop
60d731567049e5132e3cc4d4,alopecia,2,simdrop
60d731567049e5132e3cc4d4,type 1 diabetes,0,simdrop
60d731567049e5132e3cc4d4,type 2 diabetes,0,simdrop
60d731567049e5132e3cc4d4,cancer,1,simdrop
60d731567049e5132e3cc4d4,heart attack,0,simdrop
60d731567049e5132e3cc4d4,heart failure,0,simdrop
60d731567049e5132e3cc4d4,anemia,1,simdrop
60d731567049e5132e3cc4d4,high blood pressure,0,simdrop
60d731567049e5132e3cc4d4,low blood pressure,0,simdrop
60d731567049e5132e3cc4d4,high,1,simdrop
60d731567049e5132e3cc4d4,cholesterol,0,simdrop
60d731567049e5132e3cc4d4,cataracts,0,simdrop
60d731567049e5132e3cc4d4,asthma,1,simdrop
60d731567049e5132e3cc4d4,allergies,0,simdrop
60d731567049e5132e3cc4d4,psoriasis,1,simdrop
60d731567049e5132e3cc4d4,eczema,0,simdrop
60d731567049e5132e3cc4d4,migraines,1,simdrop
60d731567049e5132e3cc4d4,epilepsy,0,simdrop
60d731567049e5132e3cc4d4,heartburn,1,simdrop
60d731567049e5132e3cc4d4,indigestion,2,simdrop
63e802622f8052bd67d6c5f0,cancer,2,simdrop
63e802622f8052bd67d6c5f0,allergies,0,simdrop
63e802622f8052bd67d6c5f0,down syndrome,1,simdrop
63e802622f8052bd67d6c5f0,autism,0,simdrop
63e802622f8052bd67d6c5f0,dementia,0,simdrop
63e802622f8052bd67d6c5f0,diabetes,1,simdrop
