Subject,Fluency_Item,Switch_Value,Switch_Method
5d7ff4aa50fda7001a863736,guitar,2,simdrop
5d7ff4aa50fda7001a863736,drums,0,simdrop
5d7ff4aa50fda7001a863736,violin,1,simdrop
5d7ff4aa50fda7001a863736,bass,0,simdrop
5d7ff4aa50fda7001a863736,harp,1,simdrop
5d7ff4aa50fda7001a863736,harmonica,0,simdrop
5d7ff4aa50fda7001a863736,clarinet,1,simdrop
5d7ff4aa50fda7001a863736,flute,0,simdrop
5d7ff4aa50fda7001a863736,saxophone,1,simdrop
5d7ff4aa50fda7001a863736,trombone,0,simdrop
5d7ff4aa50fda7001a863736,cello,0,simdrop
5d7ff4aa50fda7001a863736,banjo,1,simdrop
5d7ff4aa50fda7001a863736,accordion,0,simdrop
5d7ff4aa50fda7001a863736,piano,0,simdrop
5d7ff4aa50fda7001a863736,armored,1,simdrop
5d7ff4aa50fda7001a863736,harmonica,0,simdrop
5d7ff4aa50fda7001a863736,xylophone,0,simdrop
5d7ff4aa50fda7001a863736,bongos,0,simdrop
5d7ff4aa50fda7001a863736,maracas,0,simdrop
5d7ff4aa50fda7001a863736,triangle,0,simdrop
5d7ff4aa50fda7001a863736,ukulele,2,simdrop
5f5aa60bef062519ff711fe6,violin,2,simdrop
5f5aa60bef062519ff711fe6,piano,0,simdrop
5f5aa60bef062519ff711fe6,guitar,0,simdrop
5f5aa60bef062519ff711fe6,bass,1,simdrop
5f5aa60bef062519ff711fe6,drums,0,simdrop
5f5aa60bef062519ff711fe6,triangle,1,simdrop
5f5aa60bef062519ff711fe6,flute,0,simdrop
5f5aa60bef062519ff711fe6,recorder,0,simdrop
5f5aa60bef062519ff711fe6,banjo,1,simdrop
5f5aa60bef062519ff711fe6,electric guitar,0,simdrop
5f5aa60bef062519ff711fe6,trombone,1,simdrop
5f5aa60bef062519ff711fe6,french horn,0,simdrop
5f5aa60bef062519ff711fe6,microphone,1,simdrop
5f5aa60bef062519ff711fe6,cowbell,0,simdrop
5f5aa60bef062519ff711fe6,harmonica,0,simdrop
5f5aa60bef062519ff711fe6,harp,2,simdrop
60a48adfe091e410f4eaba34,piano,2,simdrop
60a48adfe091e410f4eaba34,guitar,0,simdrop
60a48adfe091e410f4eaba34,xylophone,1,simdrop
60a48adfe091e410f4eaba34,drums,0,simdrop
60a48adfe091e410f4eaba34,vocals,0,simdrop
60a48adfe091e410f4eaba34,flute,1,simdrop
60a48adfe091e410f4eaba34,violin,0,simdrop
60a48adfe091e410f4eaba34,glockenspiel,0,simdrop
60a48adfe091e410f4eaba34,synthesizer,1,simdrop
60a48adfe091e410f4eaba34,keyboard,0,simdrop
60a48adfe091e410f4eaba34,acoustic guitar,1,simdrop
60a48adfe091e410f4eaba34,electric guitar,0,simdrop
60a48adfe091e410f4eaba34,bass guitar,0,simdrop
60a48adfe091e410f4eaba34,banjo,1,simdrop
60a48adfe091e410f4eaba34,accordion,0,simdrop
60a48adfe091e410f4eaba34,saxophone,0,simdrop
60a48adfe091e410f4eaba34,bass clarinet,0,simdrop
60a48adfe091e410f4eaba34,trumpet,0,simdrop
60a48adfe091e410f4eaba34,cowbell,2,simdrop
60d731567049e5132e3cc4d4,acoustic guitar,2,simdrop
60d731567049e5132e3cc4d4,electric guitar,0,simdrop
60d731567049e5132e3cc4d4,bass guitar,0,simdrop
60d731567049e5132e3cc4d4,cello,0,simdrop
60d731567049e5132e3cc4d4,snare drum,1,simdrop
60d731567049e5132e3cc4d4,tambourine,0,simdrop
60d731567049e5132e3cc4d4,cymbals,0,simdrop
60d731567049e5132e3cc4d4,harmonica,1,simdrop
60d731567049e5132e3cc4d4,accordion,0,simdrop
60d731567049e5132e3cc4d4,piccolo,1,simdrop
60d731567049e5132e3cc4d4,flute,0,simdrop
60d731567049e5132e3cc4d4,oboe,0,simdrop
60d731567049e5132e3cc4d4,saxophone,1,simdrop
60d731567049e5132e3cc4d4,trumpet,0,simdrop
60d731567049e5132e3cc4d4,trombone,0,simdrop
60d731567049e5132e3cc4d4,xylophone,1,simdrop
60d731567049e5132e3cc4d4,vibraphone,0,simdrop
60d731567049e5132e3cc4d4,keyboard,1,simdrop
60d731567049e5132e3cc4d4,piano,0,simdrop
60d731567049e5132e3cc4d4,harp,1,simdrop
60d731567049e5132e3cc4d4,violin,0,simdrop
60d731567049e5132e3cc4d4,viola,0,simdrop
60d731567049e5132e3cc4d4,synthesizer,1,simdrop
60d731567049e5132e3cc4d4,recorder,0,simdrop
60d731567049e5132e3cc4d4,bongos,0,simdrop
60d731567049e5132e3cc4d4,triangle,2,simdrop
63e802622f8052bd67d6c5f0,guitar,2,simdrop
63e802622f8052bd67d6c5f0,drums,0,simdrop
63e802622f8052bd67d6c5f0,saxophone,1,simdrop
63e802622f8052bd67d6c5f0,clarinet,0,simdrop
63e802622f8052bd67d6c5f0,flute,0,simdrop
63e802622f8052bd67d6c5f0,maracas,1,simdrop
63e802622f8052bd67d6c5f0,violin,0,simdrop
63e802622f8052bd67d6c5f0,harp,2,simdrop
63ea4ab1ce4168cbe9f63775,acoustic guitar,2,simdrop
63ea4ab1ce4168cbe9f63775,electric guitar,0,simdrop
63ea4ab1ce4168cbe9f63775,piano,0,simdrop
63ea4ab1ce4168cbe9f63775,electric keyboard,0,simdrop
63ea4ab1ce4168cbe9f63775,harp,0,simdrop
63ea4ab1ce4168cbe9f63775,shallow,0,simdrop
63ea4ab1ce4168cbe9f63775,violin,1,simdrop
63ea4ab1ce4168cbe9f63775,harpsichord,0,simdrop
63ea4ab1ce4168cbe9f63775,bass guitar,1,simdrop
63ea4ab1ce4168cbe9f63775,drums,0,simdrop
63ea4ab1ce4168cbe9f63775,trumpet,0,simdrop
63ea4ab1ce4168cbe9f63775,trombone,0,simdrop
63ea4ab1ce4168cbe9f63775,tuba,0,simdrop
63ea4ab1ce4168cbe9f63775,tenor saxophone,1,simdrop
63ea4ab1ce4168cbe9f63775,alto saxophone,0,simdrop
63ea4ab1ce4168cbe9f63775,flute,0,simdrop
63ea4ab1ce4168cbe9f63775,piccolo,0,simdrop
63ea4ab1ce4168cbe9f63775,clarinet,0,simdrop
63ea4ab1ce4168cbe9f63775,synthesizer,0,simdrop
63ea4ab1ce4168cbe9f63775,xylophone,0,simdrop
63ea4ab1ce4168cbe9f63775,triangle,0,simdrop
63ea4ab1ce4168cbe9f63775,timpani drum,1,simdrop
63ea4ab1ce4168cbe9f63775,snare drum,0,simdrop
63ea4ab1ce4168cbe9f63775,bass drum,0,simdrop
63ea4ab1ce4168cbe9f63775,bassoon,1,simdrop
63ea4ab1ce4168cbe9f63775,sousaphone,2,simdrop
65c25cf77dca9d7ca7d9ebdb,guitar,2,simdrop
65c25cf77dca9d7ca7d9ebdb,piano,0,simdrop
65c25cf77dca9d7ca7d9ebdb,trumpet,1,simdrop
65c25cf77dca9d7ca7d9ebdb,trombone,0,simdrop
65c25cf77dca9d7ca7d9ebdb,flute,0,simdrop
65c25cf77dca9d7ca7d9ebdb,saxophone,0,simdrop
65c25cf77dca9d7ca7d9ebdb,bass,0,simdrop
65c25cf77dca9d7ca7d9ebdb,triangle,0,simdrop
65c25cf77dca9d7ca7d9ebdb,drawings,0,simdrop
65c25cf77dca9d7ca7d9ebdb,xylophone,1,simdrop
65c25cf77dca9d7ca7d9ebdb,ukulele,0,simdrop
65c25cf77dca9d7ca7d9ebdb,reed pipes,1,simdrop
65c25cf77dca9d7ca7d9ebdb,harmonica,0,simdrop
65c25cf77dca9d7ca7d9ebdb,violin,0,simdrop
65c25cf77dca9d7ca7d9ebdb,viola,0,simdrop
65c25cf77dca9d7ca7d9ebdb,cello,2,simdrop
65cb63e160bb47fbf9349269,piano,2,simdrop
65cb63e160bb47fbf9349269,guitar,0,simdrop
