Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
5d7ff4aa50fda7001a863736,forage_dynamic_simdrop,3.4052758127121496,4.3018321985756485,,164.0081474678311
5d7ff4aa50fda7001a863736,forage_random_baseline,0.0,0.0,,186.12049908030272
5f5aa60bef062519ff711fe6,forage_dynamic_simdrop,-0.12996580151744525,3.066832210912594,,172.86491806899477
5f5aa60bef062519ff711fe6,forage_random_baseline,0.0,0.0,,186.12049908030272
60a48adfe091e410f4eaba34,forage_dynamic_simdrop,-0.12192040283288659,3.516251714844483,,106.64502395596642
60a48adfe091e410f4eaba34,forage_random_baseline,0.0,0.0,,114.07385427502419
60d731567049e5132e3cc4d4,forage_dynamic_simdrop,2.3893725437874624,4.294080800523063,,202.20480719546504
60d731567049e5132e3cc4d4,forage_random_baseline,0.0,0.0,,228.14770855004855
63e802622f8052bd67d6c5f0,forage_dynamic_simdrop,0.07123135249099946,4.209731136564258,,104.81991099413398
63e802622f8052bd67d6c5f0,forage_random_baseline,0.0,0.0,,114.07385427502419
63ea4ab1ce4168cbe9f63775,forage_dynamic_simdrop,-0.0650740229501399,5.00794620353191,,168.39654128380613
63ea4ab1ce4168cbe9f63775,forage_random_baseline,0.0,0.0,,198.12827321451581
65b15afd94153c1f50c92493,forage_dynamic_simdrop,3.2679922610502445,3.9900995005432516,,100.87187238413541
65b15afd94153c1f50c92493,forage_random_baseline,0.0,0.0,,114.07385427502419
65c25cf77dca9d7ca7d9ebdb,forage_dynamic_simdrop,2.4982191105831837,5.0293542896395165,,130.49495922770393
65c25cf77dca9d7ca7d9ebdb,forage_random_baseline,0.0,0.0,,162.10495081187653
65cb63e160bb47fbf9349269,forage_dynamic_simdrop,1.322689059407974,4.602344954185636,,170.98128657792407
65cb63e160bb47fbf9349269,forage_random_baseline,0.0,0.0,,192.12438614740927
65cc19b4b3d48a22dfc6756d,forage_dynamic_simdrop,2.421959350829841,3.9956913374627736,,140.7276790474292
65cc19b4b3d48a22dfc6756d,forage_random_baseline,0.0,0.0,,156.10106374477
65d54b3b524fcafb543d1b23,forage_dynamic_simdrop,0.24557611788012074,4.800822595379119,,103.01882378069008
65d54b3b524fcafb543d1b23,forage_random_baseline,0.0,0.0,,120.07774134213072
65d6a09286a0c99e632a46dd,forage_dynamic_simdrop,0.008413562573591486,3.73027088362898,,135.01775658122415
65d6a09286a0c99e632a46dd,forage_random_baseline,0.0,0.0,,144.0932896105569
65e1f75ab3efd22e847cfbf0,forage_dynamic_simdrop,2.477427992637531,3.6681290180273964,,148.66055614024697
65e1f75ab3efd22e847cfbf0,forage_random_baseline,0.0,0.0,,162.10495081187653
65e358d9c5e3ee026268b2a7,forage_dynamic_simdrop,0.5124597488283512,3.807672102272818,,185.84826226133015
65e358d9c5e3ee026268b2a7,forage_random_baseline,0.0,0.0,,210.1360473487289
65e862f844f1b7a803bb3c5a,forage_dynamic_simdrop,2.435443695739671,3.9411573724421407,,272.2562480585266
65e862f844f1b7a803bb3c5a,forage_random_baseline,0.0,0.0,,300.1943533553269
