Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
5d7ff4aa50fda7001a863736,0.49699122803162565,0.12051182154102402,7.0243187682246395,1.4285034623844868,11.0,simdrop,3,2.75,1.299038105676658
5f5aa60bef062519ff711fe6,0.5284914750356949,0.11735884162381145,6.292955462223182,1.1209196016043639,20.0,simdrop,7,2.5,1.118033988749895
60a48adfe091e410f4eaba34,0.49529934874498827,0.10308089723984586,6.127048347045037,0.9700848707216627,15.0,simdrop,4,3.0,1.6733200530681511
60d731567049e5132e3cc4d4,0.4295444398436293,0.126860333079054,6.643893056732869,1.208482410420609,31.0,simdrop,8,3.4444444444444446,1.7708197167232476
63e802622f8052bd67d6c5f0,0.3883726499378574,0.159099553539886,6.133078025635928,1.3891565586045438,11.0,simdrop,2,3.6666666666666665,1.699673171197595
63ea4ab1ce4168cbe9f63775,0.4826186620746324,0.16343377339821583,5.2421500529137095,1.2675009149801952,27.0,simdrop,10,2.4545454545454546,0.7820295697311479
65b15afd94153c1f50c92493,0.4331952980127354,0.16278967434395988,6.4565761841006415,1.390005348985224,29.0,simdrop,8,3.2222222222222223,1.1331154474650633
65c25cf77dca9d7ca7d9ebdb,0.4788931229946702,0.1301085816482064,6.081099883018786,1.0960601392092209,15.0,simdrop,3,3.75,2.384848003542364
65cb63e160bb47fbf9349269,0.4579169090826147,0.13971786949840573,6.238006700881806,1.0071916258494484,21.0,simdrop,6,3.0,1.0690449676496976
65cc19b4b3d48a22dfc6756d,0.5412615762208679,0.14631056732384104,6.666848200293306,1.3580391044883262,6.0,simdrop,0,6.0,0.0
65d54b3b524fcafb543d1b23,0.5136741643107574,0.13626995757258328,6.7903696998107375,1.352770773482312,9.0,simdrop,2,3.0,1.4142135623730951
65d6a09286a0c99e632a46dd,0.440891427087886,0.15141606779226977,6.41918152430424,1.6147172733143538,21.0,simdrop,6,3.0,1.5118578920369088
65e1f75ab3efd22e847cfbf0,0.5275089015790293,0.06976603119819554,6.455664795148723,1.0715370491972012,7.0,simdrop,1,3.5,0.5
65e358d9c5e3ee026268b2a7,0.42768108051163267,0.21810836527879163,5.459700003246811,1.8214860497546486,20.0,simdrop,5,3.3333333333333335,0.7453559924999298
65e862f844f1b7a803bb3c5a,0.40552040799093586,0.12621251132504785,6.220968827965885,0.8244365588311636,40.0,simdrop,12,3.076923076923077,0.916644252908691
