SID,entry,timepoint
65e862f844f1b7a803bb3c5a,scissors,0.0
65e862f844f1b7a803bb3c5a,axe,1.6
65e862f844f1b7a803bb3c5a,thermometer,0.0
65e862f844f1b7a803bb3c5a,cutting board,2.7
65e862f844f1b7a803bb3c5a,can opener,3.3
65e862f844f1b7a803bb3c5a,armor,1.5
65e862f844f1b7a803bb3c5a,screwdriver,1.5
65e862f844f1b7a803bb3c5a,chisel,0.0
65e862f844f1b7a803bb3c5a,measuring cups,1.1
65e862f844f1b7a803bb3c5a,colander,1.3
65e862f844f1b7a803bb3c5a,driller,2.8
65e862f844f1b7a803bb3c5a,forks,1.1
65e862f844f1b7a803bb3c5a,gloves,1.0
65e862f844f1b7a803bb3c5a,knives,0.0
65e862f844f1b7a803bb3c5a,baking dish,0.0
65e862f844f1b7a803bb3c5a,mixing bowl,1.0
65e862f844f1b7a803bb3c5a,peeler,0.299999999999997
65e862f844f1b7a803bb3c5a,shovel,1.4
65e862f844f1b7a803bb3c5a,tongues,0.0
65e862f844f1b7a803bb3c5a,trowel,0.0
65e862f844f1b7a803bb3c5a,flashlight,2.8
65e862f844f1b7a803bb3c5a,measuring tape,1.90000000000001
65e862f844f1b7a803bb3c5a,saw,3.4
65e862f844f1b7a803bb3c5a,soldering iron,5.50000000000001
65e862f844f1b7a803bb3c5a,chainsaw,3.60000000000001
65e862f844f1b7a803bb3c5a,nail gun,0.0
65e862f844f1b7a803bb3c5a,wrench,1.2
65e862f844f1b7a803bb3c5a,pliers,1.40000000000001
65e862f844f1b7a803bb3c5a,mallet,2.2
65e862f844f1b7a803bb3c5a,scraper,1.5
65e862f844f1b7a803bb3c5a,hatchet,2.8
65e862f844f1b7a803bb3c5a,bolt,1.40000000000001
65e862f844f1b7a803bb3c5a,screw,0.0
65e862f844f1b7a803bb3c5a,knot,1.59999999999999
65e862f844f1b7a803bb3c5a,nail,1.7
65e862f844f1b7a803bb3c5a,spade,2.7
65e862f844f1b7a803bb3c5a,shovel,1.10000000000001
65e862f844f1b7a803bb3c5a,lawn mower,4.0
65e862f844f1b7a803bb3c5a,pruning shears,0.0
65e862f844f1b7a803bb3c5a,step ladder,8.09999999999999
63ea4ab1ce4168cbe9f63775,hammer,0.0
63ea4ab1ce4168cbe9f63775,hand saw,1.7
63ea4ab1ce4168cbe9f63775,zaza,1.1
63ea4ab1ce4168cbe9f63775,wrench,2.0
63ea4ab1ce4168cbe9f63775,ratchet,1.3
63ea4ab1ce4168cbe9f63775,allen wrench,2.1
63ea4ab1ce4168cbe9f63775,screwdriver,2.1
63ea4ab1ce4168cbe9f63775,phillips head screwdriver,1.4
63ea4ab1ce4168cbe9f63775,drill,5.1
63ea4ab1ce4168cbe9f63775,hole punch,2.1
63ea4ab1ce4168cbe9f63775,nail gun,2.8
63ea4ab1ce4168cbe9f63775,pressurized hammer,3.5
63ea4ab1ce4168cbe9f63775,automatic wrench,10.7
63ea4ab1ce4168cbe9f63775,vise grip,3.0
63ea4ab1ce4168cbe9f63775,table saw,2.0
63ea4ab1ce4168cbe9f63775,jigsaw,1.59999999999999
63ea4ab1ce4168cbe9f63775,circular saw,1.7
63ea4ab1ce4168cbe9f63775,pliers,7.5
63ea4ab1ce4168cbe9f63775,wire cutters,1.5
63ea4ab1ce4168cbe9f63775,swiss army knife,4.10000000000001
63ea4ab1ce4168cbe9f63775,pocket knife,1.8
63ea4ab1ce4168cbe9f63775,box cutter,5.2
63ea4ab1ce4168cbe9f63775,stud finder,4.19999999999999
63ea4ab1ce4168cbe9f63775,level,5.3
63ea4ab1ce4168cbe9f63775,laser level,2.40000000000001
63ea4ab1ce4168cbe9f63775,putty knife,1.8
63ea4ab1ce4168cbe9f63775,sand block,2.2
65d6a09286a0c99e632a46dd,wrench,0.0
65d6a09286a0c99e632a46dd,an automatic wrench,4.0
65d6a09286a0c99e632a46dd,screwdriver,0.299999999999999
