SID,entry,timepoint,evaluation,replacement
65c25cf77dca9d7ca7d9ebdb,carrots,0.0,FOUND,carrots
65c25cf77dca9d7ca7d9ebdb,celery,0.0,FOUND,celery
65c25cf77dca9d7ca7d9ebdb,potatoes,0.0,FOUND,potatoes
65c25cf77dca9d7ca7d9ebdb,squash,1.8,FOUND,squash
65c25cf77dca9d7ca7d9ebdb,pumpkin,0.0,FOUND,pumpkin
65c25cf77dca9d7ca7d9ebdb,coriander,2.4,FOUND,coriander
65c25cf77dca9d7ca7d9ebdb,basil,1.6,FOUND,basil
65c25cf77dca9d7ca7d9ebdb,bean sprouts,7.1,FOUND,bean sprouts
65c25cf77dca9d7ca7d9ebdb,bok choy,1.8,FOUND,bok choy
65c25cf77dca9d7ca7d9ebdb,red.pepper,2.7,FOUND,red.pepper
65c25cf77dca9d7ca7d9ebdb,chile,0.0,FOUND,chile
65c25cf77dca9d7ca7d9ebdb,onions,12.3,FOUND,onions
65c25cf77dca9d7ca7d9ebdb,leaks,0.0,FOUND,leaks
65c25cf77dca9d7ca7d9ebdb,radish,7.3,FOUND,radish
65c25cf77dca9d7ca7d9ebdb,asparagus,1.8,FOUND,asparagus
65c25cf77dca9d7ca7d9ebdb,Spanish lettuce,3.40000000000001,REPLACE,spanish lettuce
65c25cf77dca9d7ca7d9ebdb,brussel sprouts,2.40000000000001,FOUND,brussel sprouts
65c25cf77dca9d7ca7d9ebdb,cabbage,4.0,FOUND,cabbage
65c25cf77dca9d7ca7d9ebdb,peas,1.2,FOUND,peas
65c25cf77dca9d7ca7d9ebdb,mushrooms,1.3,FOUND,mushrooms
65c25cf77dca9d7ca7d9ebdb,corn,12.2,FOUND,corn
65c25cf77dca9d7ca7d9ebdb,chives,20.0,FOUND,chives
65c25cf77dca9d7ca7d9ebdb,shallots,3.59999999999999,FOUND,shallots
5d7ff4aa50fda7001a863736,broccoli,0.0,FOUND,broccoli
5d7ff4aa50fda7001a863736,are,1.8,FOUND,are
5d7ff4aa50fda7001a863736,carrots,0.0,FOUND,carrots
5d7ff4aa50fda7001a863736,celery,0.0,FOUND,celery
5d7ff4aa50fda7001a863736,cabbage,3.2,FOUND,cabbage
5d7ff4aa50fda7001a863736,brussel sprouts,1.9,FOUND,brussel sprouts
5d7ff4aa50fda7001a863736,asparagus,1.3,FOUND,asparagus
5d7ff4aa50fda7001a863736,peas,1.8,FOUND,peas
5d7ff4aa50fda7001a863736,lettuce,0.0,FOUND,lettuce
5d7ff4aa50fda7001a863736,cauliflower,7.2,FOUND,cauliflower
5d7ff4aa50fda7001a863736,corn,9.9,FOUND,corn
5d7ff4aa50fda7001a863736,eggplant,2.4,FOUND,eggplant
5d7ff4aa50fda7001a863736,cucumber,2.8,FOUND,cucumber
5d7ff4aa50fda7001a863736,potato,1.5,FOUND,potato
5d7ff4aa50fda7001a863736,green beans,15.3,FOUND,green beans
5d7ff4aa50fda7001a863736,spinach,4.59999999999999,FOUND,spinach
5d7ff4aa50fda7001a863736,onion,16.6,FOUND,onion
5d7ff4aa50fda7001a863736,garlic,0.0,FOUND,garlic
5d7ff4aa50fda7001a863736,red bell pepper,12.9,FOUND,red bell pepper
5d7ff4aa50fda7001a863736,green pepper,0.0,FOUND,green pepper
5d7ff4aa50fda7001a863736,turnips,6.0,FOUND,turnips
65cc19b4b3d48a22dfc6756d,carrots,0.0,FOUND,carrots
65cc19b4b3d48a22dfc6756d,celery,0.4,FOUND,celery
65cc19b4b3d48a22dfc6756d,cucumber,0.800000000000001,FOUND,cucumber
65cc19b4b3d48a22dfc6756d,broccoli,1.7,FOUND,broccoli
65cc19b4b3d48a22dfc6756d,spinach,0.0,FOUND,spinach
65cc19b4b3d48a22dfc6756d,lettuce,0.0,FOUND,lettuce
65cc19b4b3d48a22dfc6756d,cabbage,0.0,FOUND,cabbage
65cc19b4b3d48a22dfc6756d,brussel sprouts,5.4,FOUND,brussel sprouts
65cc19b4b3d48a22dfc6756d,corn,5.4,FOUND,corn
65cc19b4b3d48a22dfc6756d,kale,7.2,FOUND,kale
65cc19b4b3d48a22dfc6756d,parsley,2.4,FOUND,parsley
65cc19b4b3d48a22dfc6756d,bok choy,7.9,FOUND,bok choy
65cc19b4b3d48a22dfc6756d,cauliflower,5.3,FOUND,cauliflower
65cc19b4b3d48a22dfc6756d,turnips,6.3,FOUND,turnips
65cc19b4b3d48a22dfc6756d,okra,11.5,FOUND,okra
65cc19b4b3d48a22dfc6756d,zucchini,11.8,FOUND,zucchini
65cc19b4b3d48a22dfc6756d,squash,1.5,FOUND,squash
65cc19b4b3d48a22dfc6756d,pumpkin,1.60000000000001,FOUND,pumpkin
65cc19b4b3d48a22dfc6756d,peas,13.9,FOUND,peas
65cc19b4b3d48a22dfc6756d,green beans,1.0,FOUND,green beans
65cc19b4b3d48a22dfc6756d,watercress,10.5,FOUND,watercress
63ea4ab1ce4168cbe9f63775,broccoli,0.0,FOUND,broccoli
63ea4ab1ce4168cbe9f63775,spinach,2.2,FOUND,spinach
63ea4ab1ce4168cbe9f63775,kale,1.2,FOUND,kale
63ea4ab1ce4168cbe9f63775,romaine lettuce,1.6,FOUND,romaine lettuce
63ea4ab1ce4168cbe9f63775,iceberg lettuce,1.8,FOUND,iceberg lettuce
63ea4ab1ce4168cbe9f63775,cabbage,2.0,FOUND,cabbage
63ea4ab1ce4168cbe9f63775,eggplant,3.3,FOUND,eggplant
63ea4ab1ce4168cbe9f63775,zucchini,2.1,FOUND,zucchini
